Algorithm,RunID,Cmax,AvgUtilization,TimeMs,MachinePath,ItemPath
GA-TS,1,159439.0000,0.7709,300020,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-TS,2,158793.0000,0.7709,300013,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-TS,3,163215.0000,0.7709,300015,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-TS,4,162743.0000,0.7709,300013,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-TS,5,158481.7500,0.7709,300013,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-TS,6,154435.5000,0.7709,300004,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-TS,7,158481.7500,0.7709,300013,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-TS,8,152831.0000,0.7709,300002,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-TS,9,155058.0000,0.7709,300003,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-TS,10,156607.0000,0.7709,300005,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-GA,1,151323.0000,0.7709,324017,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-GA,2,149527.0000,0.7709,336687,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-GA,3,150078.0000,0.7709,322492,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-GA,4,146459.0000,0.7709,327069,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-GA,5,150471.0000,0.7709,320761,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-GA,6,148521.7500,0.7709,338256,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-GA,7,148521.7500,0.7709,314369,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-GA,8,149527.0000,0.7709,342614,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-GA,9,144571.0000,0.7709,336991,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-GA,10,150078.0000,0.7709,324301,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-ACO,1,163451.0000,0.7709,372193,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-ACO,2,162271.0000,0.7709,368405,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-ACO,3,158481.7500,0.7709,379929,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-ACO,4,154483.0000,0.7709,355600,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-ACO,5,170059.0000,0.7709,350417,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-ACO,6,159415.5000,0.7709,354809,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-ACO,7,163215.0000,0.7709,370744,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-ACO,8,160660.5000,0.7709,342768,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-ACO,9,159439.0000,0.7709,358082,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
GA-ACO,10,154435.5000,0.7709,361654,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
ALNS,1,143853.0000,0.0000,300002,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
ALNS,2,143853.0000,0.0000,300000,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
ALNS,3,143853.0000,0.0000,300000,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
ALNS,4,144176.7000,0.0000,300000,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
ALNS,5,143853.0000,0.0000,300005,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
ALNS,6,144176.7000,0.0000,300001,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
ALNS,7,145098.0000,0.0000,300005,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
ALNS,8,144176.7000,0.0000,300001,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
ALNS,9,144176.7000,0.0000,300003,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
ALNS,10,144176.7000,0.0000,300001,chapter-1/src/main/resources/Machine/machine_2,chapter-1/src/main/resources/PrintItem/printItem_20/printItem_20_01
