================================================================================
                          实验结果报告
================================================================================
实验配置: ALNS - 自适应大邻域搜索
算例名称: 2M20J-02
实验次数: 第 5 次
实验时间: 2026-02-06 12:05:36

【算法参数】
  最大迭代次数: 1000000000
  种群规模: 0
  变异率: 0.0
  交叉率: 0.0

================================================================================
                          最终实验结果
================================================================================
最优Cmax: 113350.50
运行时间: 300021 ms (300.02 秒)
迭代次数: 54328

【收敛曲线数据】
迭代次数	Cmax
1	123678.00
51	122688.00
101	122688.00
151	114919.20
201	114919.20
251	114919.20
301	114919.20
351	114919.20
401	114919.20
451	114919.20
501	114919.20
551	114919.20
601	114919.20
651	114919.20
701	114919.20
751	114919.20
801	114919.20
851	114919.20
901	114919.20
951	114919.20
1001	114919.20
1051	114919.20
1101	114919.20
1151	114919.20
1201	114919.20
1251	114919.20
1301	114919.20
1351	114919.20
1401	114919.20
1451	114919.20
1501	114919.20
1551	114919.20
1601	114919.20
1651	114919.20
1701	114919.20
1751	114919.20
1801	114919.20
1851	114919.20
1901	114919.20
1951	114919.20
2001	114919.20
2051	114919.20
2101	114919.20
2151	114919.20
2201	114919.20
2251	114919.20
2301	114919.20
2351	114919.20
2401	114919.20
2451	114919.20
2501	114919.20
2551	114919.20
2601	114919.20
2651	114919.20
2701	114919.20
2751	114919.20
2801	114919.20
2851	114919.20
2901	114919.20
2951	114919.20
3001	114919.20
3051	114919.20
3101	114919.20
3151	114919.20
3201	114919.20
3251	114919.20
3301	114919.20
3351	114919.20
3401	114919.20
3451	114919.20
3501	114919.20
3551	114919.20
3601	114919.20
3651	114919.20
3701	114919.20
3751	114919.20
3801	114919.20
3851	114919.20
3901	114919.20
3951	114919.20
4001	114919.20
4051	114919.20
4101	114919.20
4151	114919.20
4201	114919.20
4251	114919.20
4301	114919.20
4351	114919.20
4401	114919.20
4451	114919.20
4501	114919.20
4551	114919.20
4601	114919.20
4651	114919.20
4701	114919.20
4751	114919.20
4801	114919.20
4851	114919.20
4901	114919.20
4951	114919.20
5001	114919.20
5051	114919.20
5101	114919.20
5151	114919.20
5201	114919.20
5251	114919.20
5301	114919.20
5351	114919.20
5401	114919.20
5451	114919.20
5501	114919.20
5551	114919.20
5601	114919.20
5651	114919.20
5701	114919.20
5751	114919.20
5801	114919.20
5851	114919.20
5901	114919.20
5951	114919.20
6001	114919.20
6051	114919.20
6101	114919.20
6151	114919.20
6201	114919.20
6251	114919.20
6301	114919.20
6351	114919.20
6401	114919.20
6451	114919.20
6501	114919.20
6551	114919.20
6601	114919.20
6651	114919.20
6701	114919.20
6751	114919.20
6801	114919.20
6851	114919.20
6901	114919.20
6951	114919.20
7001	114919.20
7051	114919.20
7101	114919.20
7151	114919.20
7201	114919.20
7251	114919.20
7301	114919.20
7351	114919.20
7401	114919.20
7451	114919.20
7501	114919.20
7551	114919.20
7601	114919.20
7651	114919.20
7701	114919.20
7751	114919.20
7801	114919.20
7851	114919.20
7901	114919.20
7951	114919.20
8001	114919.20
8051	114919.20
8101	114919.20
8151	114919.20
8201	114919.20
8251	114919.20
8301	114919.20
8351	114919.20
8401	114919.20
8451	114919.20
8501	114919.20
8551	114919.20
8601	114919.20
8651	114919.20
8701	114919.20
8751	114919.20
8801	114919.20
8851	114919.20
8901	114919.20
8951	114919.20
9001	114919.20
9051	114919.20
9101	114919.20
9151	114919.20
9201	114919.20
9251	114919.20
9301	114919.20
9351	114919.20
9401	114919.20
9451	114919.20
9501	114919.20
9551	114919.20
9601	114919.20
9651	114919.20
9701	114919.20
9751	114919.20
9801	114919.20
9851	114919.20
9901	114919.20
9951	114919.20
10001	114919.20
10051	114919.20
10101	114919.20
10151	114919.20
10201	114919.20
10251	114919.20
10301	114919.20
10351	114919.20
10401	114919.20
10451	114919.20
10501	114919.20
10551	114919.20
10601	114919.20
10651	114919.20
10701	114919.20
10751	114919.20
10801	114919.20
10851	114919.20
10901	114919.20
10951	114919.20
11001	114919.20
11051	114919.20
11101	114919.20
11151	114919.20
11201	114919.20
11251	114919.20
11301	114919.20
11351	114919.20
11401	114919.20
11451	114919.20
11501	114919.20
11551	114919.20
11601	114919.20
11651	114919.20
11701	114919.20
11751	114919.20
11801	114919.20
11851	114919.20
11901	114919.20
11951	114919.20
12001	114919.20
12051	114919.20
12101	114919.20
12151	114919.20
12201	114919.20
12251	114919.20
12301	114919.20
12351	114919.20
12401	114919.20
12451	114919.20
12501	114919.20
12551	114919.20
12601	114919.20
12651	114919.20
12701	114919.20
12751	114919.20
12801	114919.20
12851	114919.20
12901	114919.20
12951	114919.20
13001	114919.20
13051	114919.20
13101	114919.20
13151	114919.20
13201	114919.20
13251	114919.20
13301	114919.20
13351	114919.20
13401	114919.20
13451	114919.20
13501	114919.20
13551	114919.20
13601	114919.20
13651	114919.20
13701	114919.20
13751	114919.20
13801	114919.20
13851	114919.20
13901	114919.20
13951	114919.20
14001	114919.20
14051	114919.20
14101	114919.20
14151	114919.20
14201	114919.20
14251	114919.20
14301	114919.20
14351	114919.20
14401	114919.20
14451	114919.20
14501	114919.20
14551	114919.20
14601	114919.20
14651	114919.20
14701	114919.20
14751	114919.20
14801	114919.20
14851	114919.20
14901	114919.20
14951	114919.20
15001	114919.20
15051	114919.20
15101	114919.20
15151	114919.20
15201	114919.20
15251	114919.20
15301	114919.20
15351	114919.20
15401	114919.20
15451	114919.20
15501	114919.20
15551	114919.20
15601	114919.20
15651	114919.20
15701	114919.20
15751	114919.20
15801	114919.20
15851	114919.20
15901	114919.20
15951	114919.20
16001	114919.20
16051	114919.20
16101	114919.20
16151	114919.20
16201	114919.20
16251	114919.20
16301	114919.20
16351	114919.20
16401	114919.20
16451	114919.20
16501	114919.20
16551	114919.20
16601	114919.20
16651	114919.20
16701	114919.20
16751	114919.20
16801	114919.20
16851	114919.20
16901	114919.20
16951	114919.20
17001	114919.20
17051	114919.20
17101	114919.20
17151	114919.20
17201	114919.20
17251	114919.20
17301	114919.20
17351	114919.20
17401	114919.20
17451	114919.20
17501	114919.20
17551	114919.20
17601	114919.20
17651	114919.20
17701	114919.20
17751	114919.20
17801	114919.20
17851	114919.20
17901	114919.20
17951	114919.20
18001	114919.20
18051	114919.20
18101	114919.20
18151	114919.20
18201	114919.20
18251	114919.20
18301	114919.20
18351	114919.20
18401	114919.20
18451	114919.20
18501	114919.20
18551	114919.20
18601	114919.20
18651	114919.20
18701	114919.20
18751	114919.20
18801	114919.20
18851	114919.20
18901	114919.20
18951	114919.20
19001	114919.20
19051	114919.20
19101	114919.20
19151	114919.20
19201	114919.20
19251	114919.20
19301	114919.20
19351	114919.20
19401	114919.20
19451	114919.20
19501	114919.20
19551	114919.20
19601	114919.20
19651	114919.20
19701	114919.20
19751	114919.20
19801	114919.20
19851	114919.20
19901	114919.20
19951	114919.20
20001	114919.20
20051	114919.20
20101	114919.20
20151	114919.20
20201	114919.20
20251	114919.20
20301	114919.20
20351	114919.20
20401	114919.20
20451	114919.20
20501	114919.20
20551	114919.20
20601	114919.20
20651	114919.20
20701	114919.20
20751	114919.20
20801	114919.20
20851	114919.20
20901	114919.20
20951	114919.20
21001	114919.20
21051	114919.20
21101	114919.20
21151	114919.20
21201	114919.20
21251	114919.20
21301	114919.20
21351	114919.20
21401	114919.20
21451	114919.20
21501	114919.20
21551	114919.20
21601	114919.20
21651	114919.20
21701	114919.20
21751	114919.20
21801	114919.20
21851	114919.20
21901	114919.20
21951	114919.20
22001	114919.20
22051	114919.20
22101	114919.20
22151	113350.50
22201	113350.50
22251	113350.50
22301	113350.50
22351	113350.50
22401	113350.50
22451	113350.50
22501	113350.50
22551	113350.50
22601	113350.50
22651	113350.50
22701	113350.50
22751	113350.50
22801	113350.50
22851	113350.50
22901	113350.50
22951	113350.50
23001	113350.50
23051	113350.50
23101	113350.50
23151	113350.50
23201	113350.50
23251	113350.50
23301	113350.50
23351	113350.50
23401	113350.50
23451	113350.50
23501	113350.50
23551	113350.50
23601	113350.50
23651	113350.50
23701	113350.50
23751	113350.50
23801	113350.50
23851	113350.50
23901	113350.50
23951	113350.50
24001	113350.50
24051	113350.50
24101	113350.50
24151	113350.50
24201	113350.50
24251	113350.50
24301	113350.50
24351	113350.50
24401	113350.50
24451	113350.50
24501	113350.50
24551	113350.50
24601	113350.50
24651	113350.50
24701	113350.50
24751	113350.50
24801	113350.50
24851	113350.50
24901	113350.50
24951	113350.50
25001	113350.50
25051	113350.50
25101	113350.50
25151	113350.50
25201	113350.50
25251	113350.50
25301	113350.50
25351	113350.50
25401	113350.50
25451	113350.50
25501	113350.50
25551	113350.50
25601	113350.50
25651	113350.50
25701	113350.50
25751	113350.50
25801	113350.50
25851	113350.50
25901	113350.50
25951	113350.50
26001	113350.50
26051	113350.50
26101	113350.50
26151	113350.50
26201	113350.50
26251	113350.50
26301	113350.50
26351	113350.50
26401	113350.50
26451	113350.50
26501	113350.50
26551	113350.50
26601	113350.50
26651	113350.50
26701	113350.50
26751	113350.50
26801	113350.50
26851	113350.50
26901	113350.50
26951	113350.50
27001	113350.50
27051	113350.50
27101	113350.50
27151	113350.50
27201	113350.50
27251	113350.50
27301	113350.50
27351	113350.50
27401	113350.50
27451	113350.50
27501	113350.50
27551	113350.50
27601	113350.50
27651	113350.50
27701	113350.50
27751	113350.50
27801	113350.50
27851	113350.50
27901	113350.50
27951	113350.50
28001	113350.50
28051	113350.50
28101	113350.50
28151	113350.50
28201	113350.50
28251	113350.50
28301	113350.50
28351	113350.50
28401	113350.50
28451	113350.50
28501	113350.50
28551	113350.50
28601	113350.50
28651	113350.50
28701	113350.50
28751	113350.50
28801	113350.50
28851	113350.50
28901	113350.50
28951	113350.50
29001	113350.50
29051	113350.50
29101	113350.50
29151	113350.50
29201	113350.50
29251	113350.50
29301	113350.50
29351	113350.50
29401	113350.50
29451	113350.50
29501	113350.50
29551	113350.50
29601	113350.50
29651	113350.50
29701	113350.50
29751	113350.50
29801	113350.50
29851	113350.50
29901	113350.50
29951	113350.50
30001	113350.50
30051	113350.50
30101	113350.50
30151	113350.50
30201	113350.50
30251	113350.50
30301	113350.50
30351	113350.50
30401	113350.50
30451	113350.50
30501	113350.50
30551	113350.50
30601	113350.50
30651	113350.50
30701	113350.50
30751	113350.50
30801	113350.50
30851	113350.50
30901	113350.50
30951	113350.50
31001	113350.50
31051	113350.50
31101	113350.50
31151	113350.50
31201	113350.50
31251	113350.50
31301	113350.50
31351	113350.50
31401	113350.50
31451	113350.50
31501	113350.50
31551	113350.50
31601	113350.50
31651	113350.50
31701	113350.50
31751	113350.50
31801	113350.50
31851	113350.50
31901	113350.50
31951	113350.50
32001	113350.50
32051	113350.50
32101	113350.50
32151	113350.50
32201	113350.50
32251	113350.50
32301	113350.50
32351	113350.50
