迭代次数,Cmax
1,258934.0000
2,258226.0000
3,258226.0000
4,258226.0000
5,258226.0000
6,258226.0000
7,258226.0000
8,258226.0000
9,252798.0000
10,252798.0000
11,252798.0000
12,252798.0000
13,252547.2000
14,252547.2000
15,252547.2000
16,252547.2000
17,252547.2000
18,252547.2000
19,252090.0000
20,252090.0000
21,252090.0000
22,252090.0000
23,252090.0000
24,252090.0000
25,252090.0000
26,252090.0000
27,252090.0000
28,252090.0000
29,252090.0000
30,252090.0000
31,252090.0000
32,252090.0000
33,252090.0000
34,252090.0000
35,251625.9000
36,251625.9000
37,251625.9000
38,251625.9000
39,251625.9000
40,251625.9000
41,251625.9000
42,251625.9000
43,251625.9000
44,251625.9000
45,251625.9000
46,251625.9000
47,251625.9000
48,251625.9000
49,251625.9000
50,251625.9000
51,251625.9000
52,251625.9000
53,251625.9000
54,251625.9000
55,251625.9000
56,251625.9000
57,251625.9000
58,251625.9000
59,251625.9000
60,251625.9000
61,251625.9000
62,251625.9000
63,251625.9000
64,251625.9000
65,251625.9000
66,251625.9000
67,251625.9000
68,251625.9000
69,251625.9000
70,251625.9000
71,246670.8000
72,246670.8000
73,246670.8000
74,246670.8000
75,246670.8000
76,246670.8000
77,246670.8000
78,246670.8000
79,246670.8000
80,246670.8000
81,246670.8000
82,246670.8000
83,246670.8000
84,246670.8000
85,246670.8000
86,246670.8000
87,246670.8000
88,246670.8000
89,246670.8000
90,246670.8000
91,246670.8000
92,246670.8000
93,246670.8000
94,246670.8000
95,246670.8000
96,241665.9000
97,241665.9000
98,241665.9000
99,241665.9000
100,241342.2000
101,241342.2000
102,241342.2000
103,241342.2000
104,241342.2000
105,241342.2000
106,241342.2000
107,241342.2000
108,241342.2000
109,241342.2000
110,237308.4000
111,237308.4000
112,237308.4000
113,237308.4000
114,234737.0000
115,234737.0000
116,234737.0000
117,234737.0000
118,234737.0000
119,234737.0000
120,234737.0000
121,234737.0000
122,234737.0000
123,234737.0000
124,234737.0000
125,234737.0000
126,234737.0000
127,234737.0000
128,234737.0000
129,234737.0000
130,234737.0000
131,234737.0000
132,234737.0000
133,234737.0000
134,234737.0000
135,234737.0000
136,234737.0000
137,234737.0000
138,234737.0000
139,234737.0000
140,234737.0000
141,234737.0000
142,234737.0000
143,234737.0000
144,234737.0000
145,234737.0000
146,234737.0000
147,234737.0000
148,234737.0000
149,234737.0000
