Algorithm,Cmax,AvgUtilization,TimeMs
GA-TS,350028.8000,0.8069,300016
GA-TS,355048.8000,0.8069,300031
GA-TS,359303.5000,0.8069,300030
GA-TS,359303.5000,0.8069,300019
GA-TS,353040.8000,0.8069,300037
GA-TS,355048.8000,0.8069,300025
GA-TS,352303.5000,0.8069,300057
GA-TS,358988.2500,0.8069,300049
GA-TS,354044.8000,0.8069,300060
GA-TS,367002.1500,0.8069,300024
GA-GA,393200.8000,0.8069,465170
GA-GA,420308.8000,0.7449,399027
GA-GA,603355.2000,0.8069,453427
GA-GA,583275.2000,0.8069,385171
GA-GA,466492.8000,0.8069,635263
GA-GA,470508.8000,0.8069,475481
GA-GA,429344.8000,0.8803,462829
GA-GA,450428.8000,0.8803,406274
GA-GA,385168.8000,0.7449,361199
GA-GA,444404.8000,0.8069,414458
GA-ACO,669619.2000,0.8069,837475
GA-ACO,636487.2000,0.6917,822384
GA-ACO,597331.2000,0.6917,569721
GA-ACO,452436.8000,0.7449,853326
GA-ACO,482556.8000,0.7449,849214
GA-ACO,492596.8000,0.8069,995070
GA-ACO,663595.2000,0.7449,908541
GA-ACO,628455.2000,0.8069,994680
GA-ACO,610383.2000,0.7449,948073
GA-ACO,648535.2000,0.7449,655388
ALNS,294700.8000,0.0000,300173
ALNS,294490.4000,0.0000,300572
ALNS,294490.4000,0.0000,300175
ALNS,294490.4000,0.0000,300097
ALNS,290868.3000,0.0000,300091
ALNS,295795.8000,0.0000,300418
ALNS,294634.7000,0.0000,300164
ALNS,296045.9000,0.0000,300053
ALNS,296816.8000,0.0000,300054
ALNS,294490.4000,0.0000,300002
