算例,算法,平均Cmax,最优Cmax,最差Cmax,标准差,平均利用率,平均时间(ms)
2M10J-01,GA-TS,64230.5500,58417.0000,71954.2500,6348.2360,0.7157,300151.80
2M10J-01,GA-GA,58417.0000,58417.0000,58417.0000,0.0000,0.8258,314556.80
2M10J-01,GA-ACO,60428.1750,58417.0000,72549.0000,4137.4426,0.8258,320937.70
2M10J-01,ALNS,58417.0000,58417.0000,58417.0000,0.0000,0.0000,300002.40
2M10J-02,GA-TS,92469.0000,92469.0000,92469.0000,0.0000,0.6244,300002.70
2M10J-02,GA-GA,92469.0000,92469.0000,92469.0000,0.0000,0.6244,312482.90
2M10J-02,GA-ACO,92469.0000,92469.0000,92469.0000,0.0000,0.6244,323576.80
2M10J-02,ALNS,92469.0000,92469.0000,92469.0000,0.0000,0.0000,300076.80
2M10J-03,GA-TS,85306.9000,66913.0000,88111.5000,6278.2380,0.7136,300003.30
2M10J-03,GA-GA,74022.9000,66913.0000,84687.7500,8707.8136,0.8563,310639.50
2M10J-03,GA-ACO,77764.6000,66913.0000,85310.2500,8863.5738,0.8563,321414.50
2M10J-03,ALNS,66913.0000,66913.0000,66913.0000,0.0000,0.0000,300000.20
2M10J-04,GA-TS,82695.7500,69436.5000,84376.5000,4435.0668,0.6685,300003.00
2M10J-04,GA-GA,68152.9500,64081.0000,79085.2500,5846.4522,0.8720,310537.00
2M10J-04,GA-ACO,71802.0000,69436.5000,83442.7500,4830.2952,0.8720,319281.20
2M10J-04,ALNS,72124.9000,64081.0000,79097.7000,7135.4362,0.0000,300001.20
2M20J-01,GA-TS,158008.5000,152831.0000,163215.0000,3207.4183,0.7709,300010.10
2M20J-01,GA-GA,148907.7500,144571.0000,151323.0000,1920.5432,0.7709,328755.70
2M20J-01,GA-ACO,160591.1250,154435.5000,170059.0000,4357.6475,0.7709,361460.10
2M20J-01,ALNS,144139.3500,143853.0000,145098.0000,354.1144,0.0000,300001.80
2M20J-02,GA-TS,127363.3000,122688.0000,130158.0000,2365.7631,0.7115,300002.10
2M20J-02,GA-GA,123136.9750,120820.5000,125094.0000,1395.5049,0.7115,334669.20
2M20J-02,GA-ACO,129411.1000,125094.0000,134204.2500,2701.2471,0.7115,361806.00
