算例,HGATS,GA-GA,GA-ACO,ALNS
平均Cmax
2M10J-01,64230.5500,58417.0000,60428.1750,58417.0000
2M10J-02,92469.0000,92469.0000,92469.0000,92469.0000
2M10J-03,85306.9000,74022.9000,77764.6000,66913.0000
2M10J-04,82695.7500,68152.9500,71802.0000,72124.9000
2M20J-01,158008.5000,148907.7500,160591.1250,144139.3500
2M20J-02,127363.3000,123136.9750,129411.1000,113507.3700
2M20J-03,140097.7500,132465.9250,147829.7500,130222.6800
2M20J-04,141620.5250,134545.5750,141658.1250,122970.0000
2M40J-01,267432.5750,251019.7250,278166.7000,230460.2600
2M40J-02,259558.8000,249795.0500,273099.9750,223738.8200
2M40J-03,300983.2000,282503.2000,310791.2750,253475.0200
2M40J-04,259431.5000,239955.8250,275246.4000,228523.0400
3M60J-01,441876.2050,481183.9100,615050.5700,364535.4400
3M60J-02,369092.6050,442743.2400,556655.7350,301504.2000
3M60J-03,356411.2900,464648.8800,588199.6800,294682.3900
3M60J-04,384436.2550,471626.7500,653222.1600,312530.1400
4M80J-01,226908.7094,292202.8600,340171.9400,171499.0600
4M80J-02,211775.9200,281500.7400,323907.7400,164508.1200
4M80J-03,243114.8212,313301.2500,370061.6800,191142.3100
4M80J-04,214988.1624,280023.0100,326303.2200,171573.0400

算例,HGATS,GA-GA,GA-ACO,ALNS
最优Cmax
2M10J-01,58417.0000,58417.0000,58417.0000,58417.0000
2M10J-02,92469.0000,92469.0000,92469.0000,92469.0000
2M10J-03,66913.0000,66913.0000,66913.0000,66913.0000
2M10J-04,69436.5000,64081.0000,69436.5000,64081.0000
2M20J-01,152831.0000,144571.0000,154435.5000,143853.0000
2M20J-02,122688.0000,120820.5000,125094.0000,113350.5000
2M20J-03,131091.7500,130050.0000,141674.2500,130050.0000
2M20J-04,133893.0000,127045.5000,135760.5000,122970.0000
2M40J-01,257393.0000,247243.5000,266125.0000,228837.0000
2M40J-02,252846.0000,245970.7500,266541.0000,221396.0000
2M40J-03,295176.0000,280521.0000,302957.2500,248897.0000
2M40J-04,248149.5000,235084.0000,266361.0000,218800.0000
3M60J-01,433360.8000,423120.9000,465336.9000,358012.2000
3M60J-02,362383.5000,363443.4000,391460.2000,298248.6000
3M60J-03,350028.8000,385168.8000,452436.8000,290868.3000
3M60J-04,375128.8000,383663.5000,527736.8000,307785.0000
4M80J-01,222817.4000,262363.7000,304590.4000,168313.6000
4M80J-02,204374.5000,237642.8000,264506.8000,161059.3000
4M80J-03,230664.0000,276114.0000,330593.5000,186386.5000
4M80J-04,210027.6471,240586.8000,280698.8000,168128.4000
