ConfigName,Cmax,AvgUtilization,TimeMs
完整算法,151323.0000,0.7709,300038
完整算法,150078.0000,0.7709,300032
完整算法,153303.0000,0.7709,300002
完整算法,161327.0000,0.7709,300012
完整算法,144164.2500,0.7709,458487
完整算法,150078.0000,0.7709,300003
完整算法,159415.5000,0.7709,300018
完整算法,155058.0000,0.7709,303436
随机初始化,145098.0000,0.7709,300020
随机初始化,150235.0000,0.7709,300033
随机初始化,162271.0000,0.7709,300019
随机初始化,155058.0000,0.7709,300010
随机初始化,167227.0000,0.7709,391680
随机初始化,150471.0000,0.7709,300038
随机初始化,148583.0000,0.7709,300012
随机初始化,160383.0000,0.7709,300027
简化变异,144164.2500,0.7709,300034
简化变异,145098.0000,0.7709,300032
简化变异,148521.7500,0.7709,300017
简化变异,195237.0000,0.5507,300880
简化变异,178429.5000,0.6424,346490
简化变异,154247.0000,0.7709,300019
简化变异,148521.7500,0.7709,300029
简化变异,151415.0000,0.7709,300173
简化变异,179152.0000,0.6424,302372
无禁忌搜索,145098.0000,0.7709,300023
无禁忌搜索,154435.5000,0.7709,300028
无禁忌搜索,155058.0000,0.7709,300034
无禁忌搜索,181040.0000,0.6424,301033
无禁忌搜索,150078.0000,0.7709,300069
无禁忌搜索,149055.0000,0.7709,300027
无禁忌搜索,162216.7500,0.7709,303519
简化评分,150235.0000,0.7709,300035
简化评分,162271.0000,0.7709,300012
简化评分,154435.5000,0.7709,300010
简化评分,150078.0000,0.7709,300026
简化评分,154719.0000,0.7709,300019
简化评分,158170.5000,0.7709,303498
简化评分,199920.0000,0.5507,302316
最小配置,148521.7500,0.7709,300029
最小配置,154435.5000,0.7709,300011
最小配置,154011.0000,0.7709,300017
最小配置,191771.0000,0.6424,300915
最小配置,146695.0000,0.7709,321356
最小配置,156371.0000,0.7709,300027
最小配置,148521.7500,0.7709,303452
最小配置,207944.0000,0.5507,302310
