ConfigID,ConfigName,RunID,Cmax,AvgUtilization,TimeMs
V0-Full,完整算法,1,275256.0000,0.7944,300022
V0-Full,完整算法,2,278633.0000,0.7944,300027
V0-Full,完整算法,3,262806.0000,0.7944,300012
V0-Full,完整算法,4,265417.0000,0.7944,300026
V0-Full,完整算法,6,271832.2500,0.7149,300024
V0-Full,完整算法,7,276981.0000,0.7944,304532
V0-Full,完整算法,8,269193.0000,0.7944,388023
V0-Full,完整算法,9,268719.7500,0.7944,304780
V0-Full,完整算法,10,267474.7500,0.7944,457880
V1-RandomInit,随机初始化,1,282409.0000,0.7944,300020
V1-RandomInit,随机初始化,2,266125.0000,0.7944,300027
V1-RandomInit,随机初始化,3,268138.0000,0.7149,300028
V1-RandomInit,随机初始化,4,273388.5000,0.7944,300025
V1-RandomInit,随机初始化,7,269665.0000,0.7944,300080
V1-RandomInit,随机初始化,8,265889.0000,0.7944,357844
V2-SimpleMutation,简化变异,1,273388.5000,0.7944,300024
V2-SimpleMutation,简化变异,2,266541.0000,0.7944,300013
V2-SimpleMutation,简化变异,3,275567.2500,0.7944,300016
V2-SimpleMutation,简化变异,6,259071.0000,0.7944,568794
V2-SimpleMutation,简化变异,7,269031.0000,0.7944,300078
V3-NoTabu,无禁忌搜索,1,264709.0000,0.7944,300024
V3-NoTabu,无禁忌搜索,2,276501.0000,0.7944,300023
V3-NoTabu,无禁忌搜索,3,266852.2500,0.7944,300020
V3-NoTabu,无禁忌搜索,4,287394.7500,0.7944,308696
V3-NoTabu,无禁忌搜索,7,266880.0000,0.7149,393318
V3-NoTabu,无禁忌搜索,8,267541.0000,0.7944,300047
V3-NoTabu,无禁忌搜索,9,261169.0000,0.7944,302136
V4-SimpleScore,简化评分,1,276273.0000,0.7944,300027
V4-SimpleScore,简化评分,2,279302.2500,0.7149,300012
V4-SimpleScore,简化评分,3,274621.0000,0.7944,300032
V4-SimpleScore,简化评分,7,261405.0000,0.7944,388046
V4-SimpleScore,简化评分,8,277689.0000,0.7944,300073
V4-SimpleScore,简化评分,9,269193.0000,0.7944,457921
V5-Minimal,最小配置,1,262806.0000,0.7944,300009
V5-Minimal,最小配置,2,270587.2500,0.7944,300038
V5-Minimal,最小配置,3,258448.5000,0.7944,300032
V5-Minimal,最小配置,4,296694.0000,0.7149,308710
V5-Minimal,最小配置,5,304202.2500,0.7149,313580
V5-Minimal,最小配置,6,271521.0000,0.7149,300074
V5-Minimal,最小配置,8,265181.0000,0.7944,300071
V5-Minimal,最小配置,9,261641.0000,0.7944,307041
V5-Minimal,最小配置,10,403546.5000,0.5107,491415
