Instance,ConfigID,ConfigName,AvgCmax,MinCmax,MaxCmax,StdDev,AvgUtilization,AvgTimeMs,RPD
2M10J,V0-Full,完整算法,62420.3438,58417.0000,76906.5000,7043.6555,0.7570,475682.50,0.00
2M10J,V1-RandomInit,随机初始化,62197.0000,58417.0000,76906.5000,6670.8003,0.7646,334724.22,-0.36
2M10J,V2-SimpleMutation,简化变异,60977.3438,58417.0000,76906.5000,6055.9039,0.7914,476188.88,-2.31
2M10J,V3-NoTabu,无禁忌搜索,62750.2813,58417.0000,79546.0000,7741.7147,0.7570,651791.88,0.53
2M10J,V4-SimpleScore,简化评分,64926.1429,58417.0000,76906.5000,7669.9162,0.7078,500770.71,4.01
2M10J,V5-Minimal,最小配置,61343.1071,58417.0000,76906.5000,6390.8409,0.7865,502698.14,-1.73
3M60J,V0-Full,完整算法,444393.7000,434364.8000,449400.9000,5038.2212,0.7889,323544.71,0.00
3M60J,V1-RandomInit,随机初始化,457475.4357,432900.2000,496976.9000,23977.7407,0.7607,1074915.29,2.94
3M60J,V2-SimpleMutation,简化变异,471587.4714,420930.9000,718815.2000,101103.2274,0.7748,704817.14,6.12
3M60J,V3-NoTabu,无禁忌搜索,420930.5875,429417.1500,446340.2000,6162.7153,0.7758,300048.25,-1.42
3M60J,V4-SimpleScore,简化评分,483271.1857,444380.2000,645570.3000,68901.6122,0.7288,688134.43,8.75
3M60J,V5-Minimal,最小配置,505290.4750,418740.9000,677651.2000,91678.5578,0.6955,963742.63,13.70
5M80J,V0-Full,完整算法,223167.3157,209334.5000,233063.8000,7056.1421,0.7642,301647.89,0.00
5M80J,V1-RandomInit,随机初始化,220955.8890,206294.5000,228661.4118,6297.5527,0.7831,302881.88,-0.99
5M80J,V2-SimpleMutation,简化变异,217629.3800,208949.0000,221927.8000,4534.4981,0.8083,304297.20,-2.48
5M80J,V3-NoTabu,无禁忌搜索,223528.6676,219049.0000,227959.8000,3852.4894,0.7666,300163.00,0.16
5M80J,V4-SimpleScore,简化评分,234622.5949,211137.4000,337506.1000,39341.7063,0.7259,308866.00,5.13
5M80J,V5-Minimal,最小配置,238788.9400,198134.5000,410546.0000,61422.6716,0.7512,315970.10,7.00
2M20J,V0-Full,完整算法,153093.3438,144164.2500,161327.0000,5156.4767,0.7709,320253.50,0.00
2M20J,V1-RandomInit,随机初始化,154915.7500,145098.0000,167227.0000,7191.4428,0.7709,311479.88,1.19
2M20J,V2-SimpleMutation,简化变异,160531.8056,144164.2500,195237.0000,17602.6723,0.7179,305560.67,4.86
2M20J,V3-NoTabu,无禁忌搜索,156711.6071,145098.0000,181040.0000,11132.9410,0.7526,300676.14,2.36
2M20J,V4-SimpleScore,简化评分,161404.1429,150078.0000,199920.0000,16217.1141,0.7395,300845.14,5.43
2M20J,V5-Minimal,最小配置,163533.8750,146695.0000,207944.0000,21588.8927,0.7273,303514.63,6.82
2M40J,V0-Full,完整算法,270701.4167,262806.0000,278633.0000,5068.8872,0.7855,328369.56,0.00
2M40J,V1-RandomInit,随机初始化,270935.7500,265889.0000,282409.0000,5711.1975,0.7811,309670.67,0.09
2M40J,V2-SimpleMutation,简化变异,268719.7500,259071.0000,275567.2500,5772.8275,0.7944,353785.00,-0.73
2M40J,V3-NoTabu,无禁忌搜索,270149.5714,261169.0000,287394.7500,8249.2803,0.7830,314894.86,-0.20
2M40J,V4-SimpleScore,简化评分,273080.5417,261405.0000,279302.2500,6109.3316,0.7811,341018.50,0.88
2M40J,V5-Minimal,最小配置,288291.9444,258448.5000,403546.5000,43444.2412,0.7364,324552.22,6.50
