================================================================================
                          实验结果报告
================================================================================
实验名称: 完整算法 - 50%启发式+LocalSearch变异+禁忌搜索+复杂评分
算例名称: 5M80J
运行ID: 9
实验时间: 2026-02-07 12:51:43

【参数配置】
  最大代数: 1000000
  种群规模: 100
  变异率: 0.2
  交叉率: 0.8

================================================================================
                          最终实验结果
================================================================================
最优Cmax: 230664.0000
运行时间: 309153 ms (309.15 秒)
终止代数: 2384

【收敛曲线数据】
代数	Cmax
1	381611.7000
11	268897.4000
21	254579.8824
31	244737.4000
41	244737.4000
51	244634.8000
61	236311.8000
71	236311.8000
81	236311.8000
91	236311.8000
101	236311.8000
111	236311.8000
121	236311.8000
131	236311.8000
141	236311.8000
151	236311.8000
161	236311.8000
171	236311.8000
181	236311.8000
191	236311.8000
201	236311.8000
211	236311.8000
221	236311.8000
231	236311.8000
241	236311.8000
251	236311.8000
261	236311.8000
271	236311.8000
281	236311.8000
291	236311.8000
301	236311.8000
311	236311.8000
321	236311.8000
331	236311.8000
341	236311.8000
351	236311.8000
361	236311.8000
371	236311.8000
381	236311.8000
391	236311.8000
401	236311.8000
411	236311.8000
421	236311.8000
431	236311.8000
441	236311.8000
451	232303.7647
461	232303.7647
471	232303.7647
481	232303.7647
491	232303.7647
501	232303.7647
511	232303.7647
521	232303.7647
531	232303.7647
541	232303.7647
551	232303.7647
561	232303.7647
571	232303.7647
581	232303.7647
591	232303.7647
601	232303.7647
611	232303.7647
621	232303.7647
631	232303.7647
641	232303.7647
651	232303.7647
661	232303.7647
671	232303.7647
681	232303.7647
691	232303.7647
701	232303.7647
711	232303.7647
721	232303.7647
731	232303.7647
741	232303.7647
751	232303.7647
761	232303.7647
771	232303.7647
781	232303.7647
791	232303.7647
801	232303.7647
811	232303.7647
821	232303.7647
831	232303.7647
841	232303.7647
851	232303.7647
861	232303.7647
871	232303.7647
881	232303.7647
891	232303.7647
901	232303.7647
911	232303.7647
921	232303.7647
931	232303.7647
941	232303.7647
951	232303.7647
961	232303.7647
971	232303.7647
981	232303.7647
991	232303.7647
1001	232303.7647
1011	232303.7647
1021	232303.7647
1031	232303.7647
1041	232303.7647
1051	232303.7647
1061	232303.7647
1071	232303.7647
1081	232303.7647
1091	232303.7647
1101	232303.7647
1111	232303.7647
1121	232303.7647
1131	232303.7647
1141	232303.7647
1151	232303.7647
1161	232303.7647
1171	232303.7647
1181	232303.7647
1191	232303.7647
1201	232303.7647
1211	230664.0000
1221	230664.0000
1231	230664.0000
1241	230664.0000
1251	230664.0000
1261	230664.0000
1271	230664.0000
1281	230664.0000
1291	230664.0000
1301	230664.0000
1311	230664.0000
1321	230664.0000
1331	230664.0000
1341	230664.0000
1351	230664.0000
1361	230664.0000
1371	230664.0000
1381	230664.0000
1391	230664.0000
1401	230664.0000
1411	230664.0000
1421	230664.0000
1431	230664.0000
1441	230664.0000
1451	230664.0000
1461	230664.0000
1471	230664.0000
1481	230664.0000
1491	230664.0000
1501	230664.0000
1511	230664.0000
1521	230664.0000
1531	230664.0000
1541	230664.0000
1551	230664.0000
1561	230664.0000
1571	230664.0000
1581	230664.0000
1591	230664.0000
1601	230664.0000
1611	230664.0000
1621	230664.0000
1631	230664.0000
1641	230664.0000
1651	230664.0000
1661	230664.0000
1671	230664.0000
1681	230664.0000
1691	230664.0000
1701	230664.0000
1711	230664.0000
1721	230664.0000
1731	230664.0000
1741	230664.0000
1751	230664.0000
1761	230664.0000
1771	230664.0000
1781	230664.0000
1791	230664.0000
1801	230664.0000
1811	230664.0000
1821	230664.0000
1831	230664.0000
1841	230664.0000
1851	230664.0000
1861	230664.0000
1871	230664.0000
1881	230664.0000
1891	230664.0000
1901	230664.0000
1911	230664.0000
1921	230664.0000
1931	230664.0000
1941	230664.0000
1951	230664.0000
1961	230664.0000
1971	230664.0000
1981	230664.0000
1991	230664.0000
2001	230664.0000
2011	230664.0000
2021	230664.0000
2031	230664.0000
2041	230664.0000
2051	230664.0000
2061	230664.0000
2071	230664.0000
2081	230664.0000
2091	230664.0000
2101	230664.0000
2111	230664.0000
2121	230664.0000
2131	230664.0000
2141	230664.0000
2151	230664.0000
2161	230664.0000
2171	230664.0000
2181	230664.0000
2191	230664.0000
2201	230664.0000
2211	230664.0000
2221	230664.0000
2231	230664.0000
2241	230664.0000
2251	230664.0000
2261	230664.0000
2271	230664.0000
2281	230664.0000
2291	230664.0000
2301	230664.0000
2311	230664.0000
2321	230664.0000
2331	230664.0000
2341	230664.0000
2351	230664.0000
2361	230664.0000
2371	230664.0000
2381	230664.0000
2384	230664.0000

✓ 收敛曲线图已生成: 收敛曲线图.png

【机器负载统计】
  机器 1: 批次数=6, 完工时间=230047.6960
  机器 2: 批次数=2, 完工时间=230692.4388
  机器 3: 批次数=2, 完工时间=200885.0033
  机器 4: 批次数=6, 完工时间=220944.2903
  机器 5: 批次数=2, 完工时间=230307.7727


================================================================================
                         实验结果输出完成
================================================================================
