================================================================================
                          实验结果报告
================================================================================
实验名称: 无禁忌搜索 - 50%启发式+LocalSearch变异+无搜索+复杂评分
算例名称: 3M60J
运行ID: 3
实验时间: 2026-02-07 11:07:25

【参数配置】
  最大代数: 1000000
  种群规模: 100
  变异率: 0.2
  交叉率: 0.8

================================================================================
                          最终实验结果
================================================================================
最优Cmax: 436260.2000
运行时间: 300042 ms (300.04 秒)
终止代数: 4604

【收敛曲线数据】
代数	Cmax
1	821223.2000
11	507656.8000
21	483968.5500
31	472100.2000
41	459604.8000
51	459604.8000
61	459604.8000
71	459604.8000
81	459604.8000
91	459604.8000
101	459604.8000
111	459604.8000
121	459604.8000
131	459604.8000
141	459604.8000
151	459604.8000
161	459604.8000
171	459604.8000
181	459604.8000
191	459604.8000
201	459604.8000
211	459604.8000
221	459604.8000
231	459604.8000
241	459604.8000
251	459604.8000
261	459604.8000
271	459604.8000
281	459604.8000
291	459604.8000
301	459604.8000
311	459604.8000
321	459604.8000
331	459604.8000
341	459604.8000
351	459604.8000
361	459604.8000
371	459604.8000
381	459604.8000
391	459604.8000
401	459604.8000
411	459604.8000
421	459604.8000
431	459604.8000
441	459604.8000
451	459604.8000
461	459604.8000
471	459604.8000
481	459604.8000
491	459604.8000
501	459604.8000
511	459604.8000
521	459604.8000
531	459604.8000
541	459604.8000
551	459604.8000
561	459604.8000
571	459604.8000
581	459604.8000
591	459604.8000
601	459604.8000
611	459604.8000
621	459604.8000
631	459604.8000
641	459604.8000
651	459604.8000
661	459604.8000
671	459604.8000
681	459604.8000
691	459604.8000
701	459604.8000
711	459604.8000
721	459604.8000
731	459604.8000
741	459604.8000
751	459604.8000
761	459604.8000
771	459604.8000
781	452138.4000
791	452138.4000
801	452138.4000
811	452138.4000
821	452138.4000
831	452138.4000
841	452138.4000
851	452138.4000
861	452138.4000
871	452138.4000
881	452138.4000
891	452138.4000
901	452138.4000
911	452138.4000
921	452138.4000
931	452138.4000
941	452138.4000
951	452138.4000
961	452138.4000
971	452138.4000
981	452138.4000
991	452138.4000
1001	452138.4000
1011	452138.4000
1021	452138.4000
1031	452138.4000
1041	452138.4000
1051	452138.4000
1061	452138.4000
1071	452138.4000
1081	452138.4000
1091	452138.4000
1101	452138.4000
1111	452138.4000
1121	452138.4000
1131	452138.4000
1141	452138.4000
1151	452138.4000
1161	452138.4000
1171	452138.4000
1181	452138.4000
1191	452138.4000
1201	452138.4000
1211	452138.4000
1221	452138.4000
1231	452138.4000
1241	452138.4000
1251	452138.4000
1261	452138.4000
1271	452138.4000
1281	452138.4000
1291	452138.4000
1301	452138.4000
1311	452138.4000
1321	452138.4000
1331	452138.4000
1341	452138.4000
1351	452138.4000
1361	452138.4000
1371	452138.4000
1381	439819.6500
1391	439819.6500
1401	439819.6500
1411	439819.6500
1421	439819.6500
1431	439819.6500
1441	439819.6500
1451	439819.6500
1461	439819.6500
1471	436260.2000
1481	436260.2000
1491	436260.2000
1501	436260.2000
1511	436260.2000
1521	436260.2000
1531	436260.2000
1541	436260.2000
1551	436260.2000
1561	436260.2000
1571	436260.2000
1581	436260.2000
1591	436260.2000
1601	436260.2000
1611	436260.2000
1621	436260.2000
1631	436260.2000
1641	436260.2000
1651	436260.2000
1661	436260.2000
1671	436260.2000
1681	436260.2000
1691	436260.2000
1701	436260.2000
1711	436260.2000
1721	436260.2000
1731	436260.2000
1741	436260.2000
1751	436260.2000
1761	436260.2000
1771	436260.2000
1781	436260.2000
1791	436260.2000
1801	436260.2000
1811	436260.2000
1821	436260.2000
1831	436260.2000
1841	436260.2000
1851	436260.2000
1861	436260.2000
1871	436260.2000
1881	436260.2000
1891	436260.2000
1901	436260.2000
1911	436260.2000
1921	436260.2000
1931	436260.2000
1941	436260.2000
1951	436260.2000
1961	436260.2000
1971	436260.2000
1981	436260.2000
1991	436260.2000
2001	436260.2000
2011	436260.2000
2021	436260.2000
2031	436260.2000
2041	436260.2000
