TrialConfig,Cmax,AvgUtilization,TimeMs
T01_pop50_pc0.7_pm0.1_N10_TS50_L10,525273.0000,0.8378,300107
T01_pop50_pc0.7_pm0.1_N10_TS50_L10,498613.0000,0.8378,300106
T01_pop50_pc0.7_pm0.1_N10_TS50_L10,512426.0000,0.8378,300106
T01_pop50_pc0.7_pm0.1_N10_TS50_L10,518114.2500,0.8378,300057
T01_pop50_pc0.7_pm0.1_N10_TS50_L10,529630.5000,0.8378,300057
T01_pop50_pc0.7_pm0.1_N10_TS50_L10,520915.5000,0.8378,300102
T01_pop50_pc0.7_pm0.1_N10_TS50_L10,513134.2500,0.8378,300011
T01_pop50_pc0.7_pm0.1_N10_TS50_L10,530253.0000,0.8378,300017
T01_pop50_pc0.7_pm0.1_N10_TS50_L10,515313.0000,0.8378,300012
T01_pop50_pc0.7_pm0.1_N10_TS50_L10,504108.0000,0.8378,300009
T02_pop50_pc0.7_pm0.1_N10_TS100_L20,485869.0000,0.8378,300019
T02_pop50_pc0.7_pm0.1_N10_TS100_L20,504730.5000,0.8378,300006
T02_pop50_pc0.7_pm0.1_N10_TS100_L20,520604.2500,0.8378,300026
T02_pop50_pc0.7_pm0.1_N10_TS100_L20,530875.5000,0.8378,300014
T02_pop50_pc0.7_pm0.1_N10_TS100_L20,509233.0000,0.8378,300004
T02_pop50_pc0.7_pm0.1_N10_TS100_L20,538261.0000,0.8378,300006
T02_pop50_pc0.7_pm0.1_N10_TS100_L20,511121.0000,0.8378,300009
T02_pop50_pc0.7_pm0.1_N10_TS100_L20,490724.2500,0.8378,300018
T02_pop50_pc0.7_pm0.1_N10_TS100_L20,521269.0000,0.8378,300007
T02_pop50_pc0.7_pm0.1_N10_TS100_L20,510333.0000,0.8378,300041
T03_pop50_pc0.7_pm0.1_N10_TS150_L30,516558.0000,0.8378,300023
T03_pop50_pc0.7_pm0.1_N10_TS150_L30,500684.2500,0.8378,300013
T03_pop50_pc0.7_pm0.1_N10_TS150_L30,529347.0000,0.7885,300015
T03_pop50_pc0.7_pm0.1_N10_TS150_L30,494459.2500,0.8378,300017
T03_pop50_pc0.7_pm0.1_N10_TS150_L30,498816.7500,0.8378,300008
T03_pop50_pc0.7_pm0.1_N10_TS150_L30,513756.7500,0.8378,300015
T03_pop50_pc0.7_pm0.1_N10_TS150_L30,508289.0000,0.8378,300012
T03_pop50_pc0.7_pm0.1_N10_TS150_L30,533054.2500,0.8378,300018
T03_pop50_pc0.7_pm0.1_N10_TS150_L30,492005.0000,0.8378,300014
T03_pop50_pc0.7_pm0.1_N10_TS150_L30,500265.0000,0.8378,300023
T04_pop50_pc0.8_pm0.2_N20_TS50_L10,522783.0000,0.8378,300037
T04_pop50_pc0.8_pm0.2_N20_TS50_L10,503796.7500,0.8378,300012
T04_pop50_pc0.8_pm0.2_N20_TS50_L10,510021.7500,0.8378,300006
