TrialNo,TrialConfig,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10
1,T01_pop50_pc0.7_pm0.1_N10_TS50_L10,498613.0000,525273.0000,512426.0000,520915.5000,518114.2500,529630.5000,513134.2500,515313.0000,530253.0000,504108.0000
2,T02_pop50_pc0.7_pm0.1_N10_TS100_L20,485869.0000,504730.5000,520604.2500,530875.5000,509233.0000,538261.0000,511121.0000,490724.2500,521269.0000,510333.0000
3,T03_pop50_pc0.7_pm0.1_N10_TS150_L30,516558.0000,500684.2500,529347.0000,494459.2500,498816.7500,513756.7500,508289.0000,533054.2500,492005.0000,500265.0000
4,T04_pop50_pc0.8_pm0.2_N20_TS50_L10,522783.0000,503796.7500,510021.7500,519981.7500,528474.0000,521849.2500,506286.7500,536609.0000,501445.0000,495073.0000
5,T05_pop50_pc0.8_pm0.2_N20_TS100_L20,514189.0000,508465.5000,514068.0000,519145.0000,515369.0000,505041.7500,513481.0000,518736.7500,521538.0000,492241.0000
6,T06_pop50_pc0.8_pm0.2_N20_TS150_L30,507706.0000,521866.0000,518736.7500,527451.7500,512773.0000,506598.0000,521033.0000,487521.0000,532361.0000,513009.0000
7,T07_pop50_pc0.9_pm0.2_N30_TS50_L10,520561.0000,523865.0000,520915.5000,516869.2500,506286.7500,500061.7500,515001.7500,505975.5000,496638.0000,522921.0000
8,T08_pop50_pc0.9_pm0.2_N30_TS100_L20,501681.0000,513953.0000,506637.0000,541146.7500,511266.7500,522213.0000,523405.5000,517803.0000,537411.7500,508465.5000
9,T09_pop50_pc0.9_pm0.2_N30_TS150_L30,535855.5000,525612.0000,525753.0000,522160.5000,507220.5000,525584.2500,510649.0000,486341.0000,499085.0000,531778.0000
10,T10_pop100_pc0.7_pm0.2_N30_TS50_L20,509469.0000,522499.5000,535554.0000,533365.5000,496949.2500,508525.0000,522213.0000,517965.0000,505221.0000,521977.0000
11,T11_pop100_pc0.7_pm0.2_N30_TS100_L30,514379.2500,512200.5000,505457.0000,495704.2500,505221.0000,502551.7500,490413.0000,497905.0000,514425.0000,510021.7500
12,T12_pop100_pc0.7_pm0.2_N30_TS150_L10,528074.2500,513445.5000,529941.7500,487611.7500,494459.2500,510644.2500,498377.0000,520561.0000,522685.0000,538622.0000
13,T13_pop100_pc0.8_pm0.2_N10_TS50_L20,504749.0000,493525.5000,515841.0000,510177.0000,514425.0000,515313.0000,503805.0000,505664.2500,508154.2500,531542.0000
14,T14_pop100_pc0.8_pm0.2_N10_TS100_L30,515966.0000,504730.5000,522213.0000,506881.5000,498505.5000,504730.5000,509088.0000,508776.7500,531809.2500,497433.0000
15,T15_pop100_pc0.8_pm0.2_N10_TS150_L10,510021.7500,499557.0000,506286.7500,499750.5000,511482.0000,514189.0000,505353.0000,522449.0000,499750.5000,496725.0000
16,T16_pop100_pc0.9_pm0.1_N20_TS50_L20,515605.0000,531186.7500,518090.0000,517493.0000,505975.5000,509115.7500,523865.0000,497669.0000,525584.2500,525878.0000
17,T17_pop100_pc0.9_pm0.1_N20_TS100_L30,524339.2500,511593.0000,515133.0000,516313.0000,487285.0000,519670.5000,511357.0000,495704.2500,485744.2500,519670.5000
18,T18_pop100_pc0.9_pm0.1_N20_TS150_L10,537678.0000,502240.5000,515001.7500,533365.5000,498141.0000,532431.7500,519381.0000,511121.0000,495309.0000,523405.5000
19,T19_pop150_pc0.7_pm0.2_N20_TS50_L30,517803.0000,495704.2500,493214.2500,510021.7500,519670.5000,490117.0000,510885.0000,516549.0000,508154.2500,505353.0000
20,T20_pop150_pc0.7_pm0.2_N20_TS100_L10,504749.0000,495309.0000,514661.0000,481698.0000,511605.7500,501618.0000,510649.0000,510177.0000,516077.0000,506401.0000
21,T21_pop150_pc0.7_pm0.2_N20_TS150_L20,502389.0000,510644.2500,517257.0000,515494.0000,506401.0000,501618.0000,504447.0000,505975.5000,507531.7500,518909.0000
22,T22_pop150_pc0.8_pm0.1_N30_TS50_L30,508465.5000,526206.7500,527763.0000,518114.2500,512301.0000,522160.5000,496961.0000,524028.0000,496015.5000,528821.0000
23,T23_pop150_pc0.8_pm0.1_N30_TS100_L10,500684.2500,516785.0000,519853.0000,494601.0000,517729.0000,505975.5000,530001.0000,504419.2500,486688.0000,494601.0000
24,T24_pop150_pc0.8_pm0.1_N30_TS150_L20,517803.0000,503174.2500,498141.0000,504985.0000,497197.0000,500973.0000,498141.0000,493525.5000,505457.0000,496961.0000
25,T25_pop150_pc0.9_pm0.2_N10_TS50_L30,501929.2500,496326.7500,503333.0000,514425.0000,512823.0000,505975.5000,501929.2500,494459.2500,488856.7500,503485.5000
26,T26_pop150_pc0.9_pm0.2_N10_TS100_L10,504277.0000,523094.2500,516558.0000,523865.0000,516558.0000,493657.0000,524339.2500,506401.0000,489479.2500,506598.0000
27,T27_pop150_pc0.9_pm0.2_N10_TS150_L20,508154.2500,508465.5000,528821.0000,516869.2500,501929.2500,491346.7500,485121.7500,511578.0000,509710.5000,508525.0000
