TrialNo,TrialConfig,RunID,Cmax,AvgUtilization,TimeMs
1,T01_pop50_pc0.7_pm0.1_N10_TS50_L10,2,525273.0000,0.8378,300107
1,T01_pop50_pc0.7_pm0.1_N10_TS50_L10,1,498613.0000,0.8378,300106
1,T01_pop50_pc0.7_pm0.1_N10_TS50_L10,3,512426.0000,0.8378,300106
1,T01_pop50_pc0.7_pm0.1_N10_TS50_L10,5,518114.2500,0.8378,300057
1,T01_pop50_pc0.7_pm0.1_N10_TS50_L10,6,529630.5000,0.8378,300057
1,T01_pop50_pc0.7_pm0.1_N10_TS50_L10,4,520915.5000,0.8378,300102
1,T01_pop50_pc0.7_pm0.1_N10_TS50_L10,7,513134.2500,0.8378,300011
1,T01_pop50_pc0.7_pm0.1_N10_TS50_L10,9,530253.0000,0.8378,300017
1,T01_pop50_pc0.7_pm0.1_N10_TS50_L10,8,515313.0000,0.8378,300012
1,T01_pop50_pc0.7_pm0.1_N10_TS50_L10,10,504108.0000,0.8378,300009
2,T02_pop50_pc0.7_pm0.1_N10_TS100_L20,1,485869.0000,0.8378,300019
2,T02_pop50_pc0.7_pm0.1_N10_TS100_L20,2,504730.5000,0.8378,300006
2,T02_pop50_pc0.7_pm0.1_N10_TS100_L20,3,520604.2500,0.8378,300026
2,T02_pop50_pc0.7_pm0.1_N10_TS100_L20,4,530875.5000,0.8378,300014
2,T02_pop50_pc0.7_pm0.1_N10_TS100_L20,5,509233.0000,0.8378,300004
2,T02_pop50_pc0.7_pm0.1_N10_TS100_L20,6,538261.0000,0.8378,300006
2,T02_pop50_pc0.7_pm0.1_N10_TS100_L20,7,511121.0000,0.8378,300009
2,T02_pop50_pc0.7_pm0.1_N10_TS100_L20,8,490724.2500,0.8378,300018
2,T02_pop50_pc0.7_pm0.1_N10_TS100_L20,9,521269.0000,0.8378,300007
2,T02_pop50_pc0.7_pm0.1_N10_TS100_L20,10,510333.0000,0.8378,300041
3,T03_pop50_pc0.7_pm0.1_N10_TS150_L30,1,516558.0000,0.8378,300023
3,T03_pop50_pc0.7_pm0.1_N10_TS150_L30,2,500684.2500,0.8378,300013
3,T03_pop50_pc0.7_pm0.1_N10_TS150_L30,3,529347.0000,0.7885,300015
3,T03_pop50_pc0.7_pm0.1_N10_TS150_L30,4,494459.2500,0.8378,300017
3,T03_pop50_pc0.7_pm0.1_N10_TS150_L30,5,498816.7500,0.8378,300008
3,T03_pop50_pc0.7_pm0.1_N10_TS150_L30,6,513756.7500,0.8378,300015
3,T03_pop50_pc0.7_pm0.1_N10_TS150_L30,7,508289.0000,0.8378,300012
3,T03_pop50_pc0.7_pm0.1_N10_TS150_L30,8,533054.2500,0.8378,300018
3,T03_pop50_pc0.7_pm0.1_N10_TS150_L30,9,492005.0000,0.8378,300014
3,T03_pop50_pc0.7_pm0.1_N10_TS150_L30,10,500265.0000,0.8378,300023
4,T04_pop50_pc0.8_pm0.2_N20_TS50_L10,1,522783.0000,0.8378,300037
4,T04_pop50_pc0.8_pm0.2_N20_TS50_L10,2,503796.7500,0.8378,300012
4,T04_pop50_pc0.8_pm0.2_N20_TS50_L10,3,510021.7500,0.8378,300006
4,T04_pop50_pc0.8_pm0.2_N20_TS50_L10,4,519981.7500,0.8378,300041
4,T04_pop50_pc0.8_pm0.2_N20_TS50_L10,5,528474.0000,0.8378,300056
4,T04_pop50_pc0.8_pm0.2_N20_TS50_L10,6,521849.2500,0.8378,300012
4,T04_pop50_pc0.8_pm0.2_N20_TS50_L10,7,506286.7500,0.8378,300032
4,T04_pop50_pc0.8_pm0.2_N20_TS50_L10,8,536609.0000,0.8378,300032
4,T04_pop50_pc0.8_pm0.2_N20_TS50_L10,9,501445.0000,0.8378,300009
4,T04_pop50_pc0.8_pm0.2_N20_TS50_L10,10,495073.0000,0.8378,300026
5,T05_pop50_pc0.8_pm0.2_N20_TS100_L20,1,514189.0000,0.8378,300018
5,T05_pop50_pc0.8_pm0.2_N20_TS100_L20,2,508465.5000,0.8378,300032
5,T05_pop50_pc0.8_pm0.2_N20_TS100_L20,3,514068.0000,0.8378,300029
5,T05_pop50_pc0.8_pm0.2_N20_TS100_L20,5,515369.0000,0.8378,300070
5,T05_pop50_pc0.8_pm0.2_N20_TS100_L20,4,519145.0000,0.8378,300041
5,T05_pop50_pc0.8_pm0.2_N20_TS100_L20,6,505041.7500,0.8378,300015
5,T05_pop50_pc0.8_pm0.2_N20_TS100_L20,7,513481.0000,0.8378,300018
5,T05_pop50_pc0.8_pm0.2_N20_TS100_L20,8,518736.7500,0.8378,300015
5,T05_pop50_pc0.8_pm0.2_N20_TS100_L20,9,521538.0000,0.8378,300016
5,T05_pop50_pc0.8_pm0.2_N20_TS100_L20,10,492241.0000,0.8378,300010
6,T06_pop50_pc0.8_pm0.2_N20_TS150_L30,1,507706.0000,0.8378,300042
6,T06_pop50_pc0.8_pm0.2_N20_TS150_L30,2,521866.0000,0.7885,300015
6,T06_pop50_pc0.8_pm0.2_N20_TS150_L30,3,518736.7500,0.8378,300011
6,T06_pop50_pc0.8_pm0.2_N20_TS150_L30,4,527451.7500,0.8378,300034
6,T06_pop50_pc0.8_pm0.2_N20_TS150_L30,5,512773.0000,0.8378,300014
6,T06_pop50_pc0.8_pm0.2_N20_TS150_L30,6,506598.0000,0.8378,300015
6,T06_pop50_pc0.8_pm0.2_N20_TS150_L30,7,521033.0000,0.8378,300020
6,T06_pop50_pc0.8_pm0.2_N20_TS150_L30,8,487521.0000,0.8378,300032
6,T06_pop50_pc0.8_pm0.2_N20_TS150_L30,9,532361.0000,0.8378,300019
6,T06_pop50_pc0.8_pm0.2_N20_TS150_L30,10,513009.0000,0.8378,300061
7,T07_pop50_pc0.9_pm0.2_N30_TS50_L10,1,520561.0000,0.8378,300036
7,T07_pop50_pc0.9_pm0.2_N30_TS50_L10,2,523865.0000,0.8378,300029
7,T07_pop50_pc0.9_pm0.2_N30_TS50_L10,3,520915.5000,0.8378,300102
7,T07_pop50_pc0.9_pm0.2_N30_TS50_L10,4,516869.2500,0.7885,300031
7,T07_pop50_pc0.9_pm0.2_N30_TS50_L10,5,506286.7500,0.8378,300014
7,T07_pop50_pc0.9_pm0.2_N30_TS50_L10,6,500061.7500,0.8378,300015
7,T07_pop50_pc0.9_pm0.2_N30_TS50_L10,7,515001.7500,0.8378,300028
7,T07_pop50_pc0.9_pm0.2_N30_TS50_L10,8,505975.5000,0.7885,300051
7,T07_pop50_pc0.9_pm0.2_N30_TS50_L10,9,496638.0000,0.8378,300026
7,T07_pop50_pc0.9_pm0.2_N30_TS50_L10,10,522921.0000,0.8378,300066
8,T08_pop50_pc0.9_pm0.2_N30_TS100_L20,1,501681.0000,0.8378,300015
8,T08_pop50_pc0.9_pm0.2_N30_TS100_L20,2,513953.0000,0.8378,300016
8,T08_pop50_pc0.9_pm0.2_N30_TS100_L20,3,506637.0000,0.8378,300048
8,T08_pop50_pc0.9_pm0.2_N30_TS100_L20,5,511266.7500,0.8378,300027
8,T08_pop50_pc0.9_pm0.2_N30_TS100_L20,4,541146.7500,0.8378,300039
8,T08_pop50_pc0.9_pm0.2_N30_TS100_L20,6,522213.0000,0.8378,300057
8,T08_pop50_pc0.9_pm0.2_N30_TS100_L20,7,523405.5000,0.8378,300067
8,T08_pop50_pc0.9_pm0.2_N30_TS100_L20,8,517803.0000,0.8378,300021
8,T08_pop50_pc0.9_pm0.2_N30_TS100_L20,9,537411.7500,0.8378,300031
8,T08_pop50_pc0.9_pm0.2_N30_TS100_L20,10,508465.5000,0.8378,300030
9,T09_pop50_pc0.9_pm0.2_N30_TS150_L30,1,535855.5000,0.8378,300111
9,T09_pop50_pc0.9_pm0.2_N30_TS150_L30,2,525612.0000,0.7885,300078
9,T09_pop50_pc0.9_pm0.2_N30_TS150_L30,4,522160.5000,0.8378,300013
9,T09_pop50_pc0.9_pm0.2_N30_TS150_L30,3,525753.0000,0.8378,300050
9,T09_pop50_pc0.9_pm0.2_N30_TS150_L30,5,507220.5000,0.8378,300056
9,T09_pop50_pc0.9_pm0.2_N30_TS150_L30,6,525584.2500,0.8378,300050
9,T09_pop50_pc0.9_pm0.2_N30_TS150_L30,7,510649.0000,0.8378,300009
9,T09_pop50_pc0.9_pm0.2_N30_TS150_L30,8,486341.0000,0.8378,300022
9,T09_pop50_pc0.9_pm0.2_N30_TS150_L30,10,531778.0000,0.7885,300034
9,T09_pop50_pc0.9_pm0.2_N30_TS150_L30,9,499085.0000,0.8378,300039
10,T10_pop100_pc0.7_pm0.2_N30_TS50_L20,1,509469.0000,0.8378,300043
10,T10_pop100_pc0.7_pm0.2_N30_TS50_L20,2,522499.5000,0.7885,300028
10,T10_pop100_pc0.7_pm0.2_N30_TS50_L20,3,535554.0000,0.7885,300053
10,T10_pop100_pc0.7_pm0.2_N30_TS50_L20,4,533365.5000,0.8378,300087
10,T10_pop100_pc0.7_pm0.2_N30_TS50_L20,5,496949.2500,0.8378,300055
10,T10_pop100_pc0.7_pm0.2_N30_TS50_L20,6,508525.0000,0.8378,300030
10,T10_pop100_pc0.7_pm0.2_N30_TS50_L20,7,522213.0000,0.8378,300076
10,T10_pop100_pc0.7_pm0.2_N30_TS50_L20,8,517965.0000,0.8378,300042
10,T10_pop100_pc0.7_pm0.2_N30_TS50_L20,9,505221.0000,0.8378,300097
10,T10_pop100_pc0.7_pm0.2_N30_TS50_L20,10,521977.0000,0.8378,300041
11,T11_pop100_pc0.7_pm0.2_N30_TS100_L30,1,514379.2500,0.8378,300054
11,T11_pop100_pc0.7_pm0.2_N30_TS100_L30,2,512200.5000,0.8378,300029
11,T11_pop100_pc0.7_pm0.2_N30_TS100_L30,3,505457.0000,0.8378,300018
11,T11_pop100_pc0.7_pm0.2_N30_TS100_L30,4,495704.2500,0.8378,300088
11,T11_pop100_pc0.7_pm0.2_N30_TS100_L30,5,505221.0000,0.8378,300081
11,T11_pop100_pc0.7_pm0.2_N30_TS100_L30,6,502551.7500,0.8378,300036
11,T11_pop100_pc0.7_pm0.2_N30_TS100_L30,7,490413.0000,0.8378,300042
11,T11_pop100_pc0.7_pm0.2_N30_TS100_L30,8,497905.0000,0.8378,300021
11,T11_pop100_pc0.7_pm0.2_N30_TS100_L30,9,514425.0000,0.8378,300113
11,T11_pop100_pc0.7_pm0.2_N30_TS100_L30,10,510021.7500,0.8378,300046
12,T12_pop100_pc0.7_pm0.2_N30_TS150_L10,1,528074.2500,0.8378,300045
12,T12_pop100_pc0.7_pm0.2_N30_TS150_L10,2,513445.5000,0.8378,300067
12,T12_pop100_pc0.7_pm0.2_N30_TS150_L10,3,529941.7500,0.8378,300022
12,T12_pop100_pc0.7_pm0.2_N30_TS150_L10,4,487611.7500,0.8378,300098
12,T12_pop100_pc0.7_pm0.2_N30_TS150_L10,5,494459.2500,0.8378,300059
12,T12_pop100_pc0.7_pm0.2_N30_TS150_L10,6,510644.2500,0.7885,300029
12,T12_pop100_pc0.7_pm0.2_N30_TS150_L10,7,498377.0000,0.8378,300095
12,T12_pop100_pc0.7_pm0.2_N30_TS150_L10,8,520561.0000,0.8378,300025
12,T12_pop100_pc0.7_pm0.2_N30_TS150_L10,9,522685.0000,0.8378,300077
12,T12_pop100_pc0.7_pm0.2_N30_TS150_L10,10,538622.0000,0.7885,300026
13,T13_pop100_pc0.8_pm0.2_N10_TS50_L20,1,504749.0000,0.8378,300028
13,T13_pop100_pc0.8_pm0.2_N10_TS50_L20,2,493525.5000,0.8378,300040
13,T13_pop100_pc0.8_pm0.2_N10_TS50_L20,3,515841.0000,0.8378,300012
13,T13_pop100_pc0.8_pm0.2_N10_TS50_L20,4,510177.0000,0.8378,300044
13,T13_pop100_pc0.8_pm0.2_N10_TS50_L20,5,514425.0000,0.8378,300012
13,T13_pop100_pc0.8_pm0.2_N10_TS50_L20,6,515313.0000,0.8378,300020
13,T13_pop100_pc0.8_pm0.2_N10_TS50_L20,7,503805.0000,0.8378,300032
13,T13_pop100_pc0.8_pm0.2_N10_TS50_L20,8,505664.2500,0.8378,300046
13,T13_pop100_pc0.8_pm0.2_N10_TS50_L20,9,508154.2500,0.8378,300013
13,T13_pop100_pc0.8_pm0.2_N10_TS50_L20,10,531542.0000,0.7885,300028
14,T14_pop100_pc0.8_pm0.2_N10_TS100_L30,1,515966.0000,0.8378,300036
14,T14_pop100_pc0.8_pm0.2_N10_TS100_L30,2,504730.5000,0.8378,300032
14,T14_pop100_pc0.8_pm0.2_N10_TS100_L30,3,522213.0000,0.8378,300043
14,T14_pop100_pc0.8_pm0.2_N10_TS100_L30,4,506881.5000,0.8378,300031
14,T14_pop100_pc0.8_pm0.2_N10_TS100_L30,5,498505.5000,0.8378,300027
