================================================================================
                          实验结果报告
================================================================================
实验名称: 田口试验8 - T08_pop50_pc0.9_pm0.2_N30_TS100_L20
算例名称: 2M80J
运行ID: 2
实验时间: 2026-02-14 03:35:53

【参数配置】
  最大代数: 1000000
  种群规模: 50
  变异率: 0.2
  交叉率: 0.9

================================================================================
                          最终实验结果
================================================================================
最优Cmax: 513953.0000
运行时间: 300016 ms (300.02 秒)
终止代数: 5412

【收敛曲线数据】
代数	Cmax
1	580392.0000
11	529654.0000
21	529654.0000
31	529654.0000
41	529654.0000
51	529654.0000
61	529654.0000
71	529654.0000
81	526586.0000
91	526586.0000
101	525045.0000
111	525045.0000
121	525045.0000
131	525045.0000
141	525045.0000
151	525045.0000
161	525045.0000
171	525045.0000
181	525045.0000
191	525045.0000
201	525045.0000
211	525045.0000
221	525045.0000
231	525045.0000
241	525045.0000
251	525045.0000
261	525045.0000
271	525045.0000
281	525045.0000
291	525045.0000
301	525045.0000
311	525045.0000
321	525045.0000
331	525045.0000
341	525045.0000
351	525045.0000
361	525045.0000
371	525045.0000
381	525045.0000
391	525045.0000
401	525045.0000
411	525045.0000
421	525045.0000
431	525045.0000
441	525045.0000
451	525045.0000
461	525045.0000
471	525045.0000
481	525045.0000
491	519359.2500
501	519359.2500
511	519359.2500
521	519359.2500
531	519359.2500
541	519359.2500
551	519359.2500
561	519359.2500
571	519359.2500
581	519359.2500
591	519359.2500
601	519359.2500
611	514897.0000
621	514897.0000
631	514897.0000
641	514897.0000
651	514897.0000
661	514897.0000
671	514897.0000
681	514897.0000
691	514897.0000
701	514897.0000
711	514897.0000
721	514897.0000
731	514897.0000
741	514897.0000
751	514897.0000
761	514897.0000
771	514897.0000
781	514897.0000
791	514897.0000
801	514897.0000
811	514897.0000
821	514897.0000
831	514897.0000
841	514897.0000
851	514897.0000
861	514897.0000
871	514897.0000
881	514897.0000
891	514897.0000
901	514897.0000
911	514897.0000
921	514897.0000
931	514897.0000
941	514897.0000
951	514897.0000
961	514897.0000
971	514897.0000
981	514897.0000
991	514897.0000
1001	514897.0000
1011	514897.0000
1021	514897.0000
1031	514897.0000
1041	514897.0000
1051	514897.0000
1061	514897.0000
1071	514897.0000
1081	514897.0000
1091	514897.0000
1101	514897.0000
1111	514897.0000
1121	514897.0000
1131	514897.0000
1141	514897.0000
1151	514897.0000
1161	514897.0000
1171	514897.0000
1181	514897.0000
1191	514897.0000
1201	514897.0000
1211	514897.0000
1221	514897.0000
1231	514897.0000
1241	514897.0000
1251	514897.0000
1261	514897.0000
1271	514897.0000
1281	514897.0000
1291	514897.0000
1301	514897.0000
1311	514897.0000
1321	514897.0000
1331	514897.0000
1341	514897.0000
1351	514897.0000
1361	514897.0000
1371	514897.0000
1381	514897.0000
1391	514897.0000
1401	514897.0000
1411	514897.0000
1421	514897.0000
1431	514897.0000
1441	514897.0000
1451	514897.0000
1461	513953.0000
1471	513953.0000
1481	513953.0000
1491	513953.0000
1501	513953.0000
1511	513953.0000
1521	513953.0000
1531	513953.0000
1541	513953.0000
1551	513953.0000
1561	513953.0000
1571	513953.0000
1581	513953.0000
1591	513953.0000
1601	513953.0000
1611	513953.0000
1621	513953.0000
1631	513953.0000
1641	513953.0000
1651	513953.0000
1661	513953.0000
1671	513953.0000
1681	513953.0000
1691	513953.0000
1701	513953.0000
1711	513953.0000
1721	513953.0000
1731	513953.0000
1741	513953.0000
1751	513953.0000
1761	513953.0000
1771	513953.0000
1781	513953.0000
1791	513953.0000
1801	513953.0000
1811	513953.0000
1821	513953.0000
1831	513953.0000
1841	513953.0000
1851	513953.0000
1861	513953.0000
1871	513953.0000
1881	513953.0000
1891	513953.0000
1901	513953.0000
1911	513953.0000
1921	513953.0000
1931	513953.0000
1941	513953.0000
1951	513953.0000
1961	513953.0000
1971	513953.0000
1981	513953.0000
1991	513953.0000
2001	513953.0000
2011	513953.0000
2021	513953.0000
2031	513953.0000
2041	513953.0000
2051	513953.0000
2061	513953.0000
2071	513953.0000
2081	513953.0000
2091	513953.0000
2101	513953.0000
2111	513953.0000
2121	513953.0000
2131	513953.0000
2141	513953.0000
2151	513953.0000
2161	513953.0000
2171	513953.0000
2181	513953.0000
2191	513953.0000
2201	513953.0000
2211	513953.0000
2221	513953.0000
2231	513953.0000
2241	513953.0000
2251	513953.0000
2261	513953.0000
2271	513953.0000
2281	513953.0000
2291	513953.0000
2301	513953.0000
2311	513953.0000
2321	513953.0000
2331	513953.0000
