TrialNo,PopSize,CrossoverRate,MutationRate,LocalSearchN,TabuIter,TabuSize,AvgCmax,MinCmax,MaxCmax,StdDev,SNR
1,50,0.70,0.10,10,50,10,516778.0500,498613.0000,530253.0000,9811.6820,-114.2676
2,50,0.70,0.10,10,100,20,512302.0500,485869.0000,538261.0000,15506.4500,-114.1945
3,50,0.70,0.10,10,150,30,508723.5250,492005.0000,533054.2500,13496.3420,-114.1327
4,50,0.80,0.15,20,50,10,514632.0250,495073.0000,536609.0000,12595.5886,-114.2325
5,50,0.80,0.15,20,100,20,512227.5000,492241.0000,521538.0000,8129.1487,-114.1904
6,50,0.80,0.15,20,150,30,514905.5500,487521.0000,532361.0000,12006.9922,-114.2369
7,50,0.90,0.20,30,50,10,512909.5500,496638.0000,523865.0000,9405.9518,-114.2023
8,50,0.90,0.20,30,100,20,518398.3250,501681.0000,541146.7500,12272.1560,-114.2957
9,50,0.90,0.20,30,150,30,517003.8750,486341.0000,535855.5000,14906.0927,-114.2735
10,100,0.70,0.15,30,50,20,517373.8250,496949.2500,535554.0000,11675.2888,-114.2783
11,100,0.70,0.15,30,100,30,504827.8500,490413.0000,514425.0000,7806.0999,-114.0639
12,100,0.70,0.15,30,150,10,514442.1750,487611.7500,538622.0000,15839.2388,-114.2308
13,100,0.80,0.20,10,50,20,510319.6000,493525.5000,531542.0000,9510.8318,-114.1584
14,100,0.80,0.20,10,100,30,510013.4000,497433.0000,531809.2500,10089.7647,-114.1533
15,100,0.80,0.20,10,150,10,506556.4500,496725.0000,522449.0000,7661.0114,-114.0936
16,100,0.90,0.10,20,50,20,517046.2250,497669.0000,531186.7500,9806.3484,-114.2721
17,100,0.90,0.10,20,100,30,508680.9750,485744.2500,524339.2500,13245.8100,-114.1319
18,100,0.90,0.10,20,150,10,516807.5000,495309.0000,537678.0000,14361.1875,-114.2699
19,150,0.70,0.20,20,50,30,506747.2000,490117.0000,519670.5000,9993.6798,-114.0975
20,150,0.70,0.20,20,100,10,505294.4750,481698.0000,516077.0000,9838.0820,-114.0725
21,150,0.70,0.20,20,150,20,509066.6500,501618.0000,518909.0000,5900.7179,-114.1361
22,150,0.80,0.10,30,50,30,516083.6500,496015.5000,528821.0000,11601.8948,-114.2566
23,150,0.80,0.10,30,100,10,507133.7000,486688.0000,530001.0000,12932.7910,-114.1053
24,150,0.80,0.10,30,150,20,501635.7750,493525.5000,517803.0000,6494.3369,-114.0085
25,150,0.90,0.15,10,50,30,502354.3250,488856.7500,514425.0000,7428.6903,-114.0212
26,150,0.90,0.15,10,100,10,510482.6750,489479.2500,524339.2500,11825.6951,-114.1620
27,150,0.90,0.15,10,150,20,507052.1250,485121.7500,528821.0000,11649.1890,-114.1033
