TrialNo,RunID,Cmax,AvgUtilization,TimeMs
1,2,525273.0000,0.8378,300107
1,1,498613.0000,0.8378,300106
1,3,512426.0000,0.8378,300106
1,5,518114.2500,0.8378,300057
1,6,529630.5000,0.8378,300057
1,4,520915.5000,0.8378,300102
1,7,513134.2500,0.8378,300011
1,9,530253.0000,0.8378,300017
1,8,515313.0000,0.8378,300012
1,10,504108.0000,0.8378,300009
2,1,485869.0000,0.8378,300019
2,2,504730.5000,0.8378,300006
2,3,520604.2500,0.8378,300026
2,4,530875.5000,0.8378,300014
2,5,509233.0000,0.8378,300004
2,6,538261.0000,0.8378,300006
2,7,511121.0000,0.8378,300009
2,8,490724.2500,0.8378,300018
2,9,521269.0000,0.8378,300007
2,10,510333.0000,0.8378,300041
3,1,516558.0000,0.8378,300023
3,2,500684.2500,0.8378,300013
3,3,529347.0000,0.7885,300015
3,4,494459.2500,0.8378,300017
3,5,498816.7500,0.8378,300008
3,6,513756.7500,0.8378,300015
3,7,508289.0000,0.8378,300012
3,8,533054.2500,0.8378,300018
3,9,492005.0000,0.8378,300014
3,10,500265.0000,0.8378,300023
4,1,522783.0000,0.8378,300037
4,2,503796.7500,0.8378,300012
4,3,510021.7500,0.8378,300006
4,4,519981.7500,0.8378,300041
4,5,528474.0000,0.8378,300056
4,6,521849.2500,0.8378,300012
4,7,506286.7500,0.8378,300032
4,8,536609.0000,0.8378,300032
4,9,501445.0000,0.8378,300009
4,10,495073.0000,0.8378,300026
5,1,514189.0000,0.8378,300018
5,2,508465.5000,0.8378,300032
5,3,514068.0000,0.8378,300029
5,5,515369.0000,0.8378,300070
5,4,519145.0000,0.8378,300041
5,6,505041.7500,0.8378,300015
5,7,513481.0000,0.8378,300018
5,8,518736.7500,0.8378,300015
5,9,521538.0000,0.8378,300016
5,10,492241.0000,0.8378,300010
6,1,507706.0000,0.8378,300042
6,2,521866.0000,0.7885,300015
6,3,518736.7500,0.8378,300011
6,4,527451.7500,0.8378,300034
6,5,512773.0000,0.8378,300014
6,6,506598.0000,0.8378,300015
6,7,521033.0000,0.8378,300020
6,8,487521.0000,0.8378,300032
6,9,532361.0000,0.8378,300019
6,10,513009.0000,0.8378,300061
7,1,520561.0000,0.8378,300036
7,2,523865.0000,0.8378,300029
7,3,520915.5000,0.8378,300102
7,4,516869.2500,0.7885,300031
7,5,506286.7500,0.8378,300014
7,6,500061.7500,0.8378,300015
7,7,515001.7500,0.8378,300028
7,8,505975.5000,0.7885,300051
7,9,496638.0000,0.8378,300026
7,10,522921.0000,0.8378,300066
8,1,501681.0000,0.8378,300015
8,2,513953.0000,0.8378,300016
8,3,506637.0000,0.8378,300048
8,5,511266.7500,0.8378,300027
8,4,541146.7500,0.8378,300039
8,6,522213.0000,0.8378,300057
8,7,523405.5000,0.8378,300067
8,8,517803.0000,0.8378,300021
8,9,537411.7500,0.8378,300031
8,10,508465.5000,0.8378,300030
9,1,535855.5000,0.8378,300111
9,2,525612.0000,0.7885,300078
9,4,522160.5000,0.8378,300013
9,3,525753.0000,0.8378,300050
9,5,507220.5000,0.8378,300056
9,6,525584.2500,0.8378,300050
9,7,510649.0000,0.8378,300009
9,8,486341.0000,0.8378,300022
9,10,531778.0000,0.7885,300034
9,9,499085.0000,0.8378,300039
10,1,509469.0000,0.8378,300043
10,2,522499.5000,0.7885,300028
10,3,535554.0000,0.7885,300053
10,4,533365.5000,0.8378,300087
10,5,496949.2500,0.8378,300055
10,6,508525.0000,0.8378,300030
10,7,522213.0000,0.8378,300076
10,8,517965.0000,0.8378,300042
10,9,505221.0000,0.8378,300097
10,10,521977.0000,0.8378,300041
11,1,514379.2500,0.8378,300054
11,2,512200.5000,0.8378,300029
11,3,505457.0000,0.8378,300018
11,4,495704.2500,0.8378,300088
11,5,505221.0000,0.8378,300081
11,6,502551.7500,0.8378,300036
11,7,490413.0000,0.8378,300042
11,8,497905.0000,0.8378,300021
11,9,514425.0000,0.8378,300113
12,1,528074.2500,0.8378,300045
11,10,510021.7500,0.8378,300046
12,2,513445.5000,0.8378,300067
12,3,529941.7500,0.8378,300022
12,4,487611.7500,0.8378,300098
12,5,494459.2500,0.8378,300059
12,6,510644.2500,0.7885,300029
12,7,498377.0000,0.8378,300095
12,8,520561.0000,0.8378,300025
12,9,522685.0000,0.8378,300077
12,10,538622.0000,0.7885,300026
13,1,504749.0000,0.8378,300028
13,2,493525.5000,0.8378,300040
13,3,515841.0000,0.8378,300012
13,4,510177.0000,0.8378,300044
13,5,514425.0000,0.8378,300012
13,6,515313.0000,0.8378,300020
13,7,503805.0000,0.8378,300032
13,8,505664.2500,0.8378,300046
13,9,508154.2500,0.8378,300013
13,10,531542.0000,0.7885,300028
14,1,515966.0000,0.8378,300036
14,2,504730.5000,0.8378,300032
14,3,522213.0000,0.8378,300043
14,4,506881.5000,0.8378,300031
14,5,498505.5000,0.8378,300027
14,6,504730.5000,0.8378,300048
14,7,509088.0000,0.8378,300045
14,8,508776.7500,0.8378,300059
14,9,531809.2500,0.8378,300011
15,1,510021.7500,0.8378,300049
14,10,497433.0000,0.8378,300089
15,2,499557.0000,0.8378,300050
15,3,506286.7500,0.8378,300011
15,4,499750.5000,0.8378,300034
15,5,511482.0000,0.8378,300060
15,6,514189.0000,0.8378,300041
15,7,505353.0000,0.8378,300030
15,8,522449.0000,0.7885,300043
15,9,499750.5000,0.8378,300011
15,10,496725.0000,0.8378,300031
16,1,515605.0000,0.8378,300038
16,2,531186.7500,0.8378,300047
16,3,518090.0000,0.7885,300039
16,4,517493.0000,0.8378,300032
16,5,505975.5000,0.8378,300054
16,6,509115.7500,0.7885,300026
16,7,523865.0000,0.8378,300036
16,8,497669.0000,0.8378,300041
16,9,525584.2500,0.8378,300040
16,10,525878.0000,0.7885,300025
17,1,524339.2500,0.8378,300037
17,2,511593.0000,0.7885,300118
17,3,515133.0000,0.8378,300027
17,4,516313.0000,0.8378,300051
17,5,487285.0000,0.8378,300029
17,6,519670.5000,0.8378,300019
17,7,511357.0000,0.8378,300048
17,8,495704.2500,0.8378,300025
17,9,485744.2500,0.8378,300010
17,10,519670.5000,0.8378,300029
18,1,537678.0000,0.7885,300013
18,2,502240.5000,0.8378,300084
18,4,533365.5000,0.8378,300047
18,3,515001.7500,0.8378,300071
18,5,498141.0000,0.8378,300038
18,7,519381.0000,0.8378,300019
18,6,532431.7500,0.8378,300056
18,8,511121.0000,0.8378,300037
18,9,495309.0000,0.8378,300015
18,10,523405.5000,0.8378,300031
19,1,517803.0000,0.8378,300090
19,2,495704.2500,0.8378,300110
19,3,493214.2500,0.8378,300059
19,5,519670.5000,0.8378,300031
19,6,490117.0000,0.8378,300072
19,4,510021.7500,0.8378,300094
19,7,510885.0000,0.8378,300123
19,8,516549.0000,0.8378,300078
19,9,508154.2500,0.8378,300152
20,1,504749.0000,0.8378,300013
19,10,505353.0000,0.8378,300046
20,2,495309.0000,0.8378,300060
20,3,514661.0000,0.8378,300034
20,4,481698.0000,0.8378,300110
20,5,511605.7500,0.8378,300022
20,6,501618.0000,0.8378,300070
20,7,510649.0000,0.8378,300071
20,8,510177.0000,0.8378,300127
20,9,516077.0000,0.8378,300098
20,10,506401.0000,0.8378,300086
21,1,502389.0000,0.8378,300067
21,2,510644.2500,0.8378,300101
21,3,517257.0000,0.7885,300049
21,4,515494.0000,0.7885,300054
21,5,506401.0000,0.8378,300071
21,6,501618.0000,0.8378,300126
21,7,504447.0000,0.8378,300037
21,8,505975.5000,0.8378,300077
21,9,507531.7500,0.8378,300026
21,10,518909.0000,0.8378,300029
22,1,508465.5000,0.8378,300014
22,2,526206.7500,0.8378,300049
22,3,527763.0000,0.8378,300101
22,4,518114.2500,0.8378,300021
22,6,522160.5000,0.8378,300038
22,5,512301.0000,0.7885,300106
22,7,496961.0000,0.8378,300052
22,9,496015.5000,0.8378,300033
22,8,524028.0000,0.8378,300071
22,10,528821.0000,0.8378,300082
23,1,500684.2500,0.8378,300087
23,2,516785.0000,0.8378,300031
23,3,519853.0000,0.8378,300053
23,5,517729.0000,0.8378,300021
23,4,494601.0000,0.8378,300046
23,6,505975.5000,0.8378,300095
23,7,530001.0000,0.8378,300082
23,8,504419.2500,0.8378,300128
23,9,486688.0000,0.8378,300061
23,10,494601.0000,0.8378,300121
24,1,517803.0000,0.8378,300089
24,2,503174.2500,0.8378,300093
24,3,498141.0000,0.8378,300027
