================================================================================
                          实验结果报告
================================================================================
实验名称: 简化变异 - 50%启发式+简单变异+禁忌搜索+复杂评分
算例名称: 5M80J
运行ID: 2
实验时间: 2026-02-07 12:31:32

【参数配置】
  最大代数: 1000000
  种群规模: 100
  变异率: 0.2
  交叉率: 0.8

================================================================================
                          最终实验结果
================================================================================
最优Cmax: 218679.8000
运行时间: 300197 ms (300.20 秒)
终止代数: 1109

【收敛曲线数据】
代数	Cmax
1	383618.5000
11	281669.0000
21	265611.7000
31	264897.4000
41	253217.4000
51	243794.0000
61	242807.8000
71	239850.8000
81	236257.4000
91	224099.0000
101	224099.0000
111	224099.0000
121	224099.0000
131	224099.0000
141	222391.8000
151	222391.8000
161	222287.2941
171	222287.2941
181	222287.2941
191	222287.2941
201	222287.2941
211	220071.8000
221	220071.8000
231	220071.8000
241	220071.8000
251	220071.8000
261	220071.8000
271	220071.8000
281	220071.8000
291	220071.8000
301	220071.8000
311	220071.8000
321	220071.8000
331	220071.8000
341	220071.8000
351	220071.8000
361	220071.8000
371	220071.8000
381	220071.8000
391	220071.8000
401	220071.8000
411	220071.8000
421	220071.8000
431	220071.8000
441	220071.8000
451	220071.8000
461	220071.8000
471	220071.8000
481	220071.8000
491	220071.8000
501	220071.8000
511	220071.8000
521	220071.8000
531	220071.8000
541	220071.8000
551	220071.8000
561	220071.8000
571	220071.8000
581	220071.8000
591	220071.8000
601	220071.8000
611	220071.8000
621	220071.8000
631	220071.8000
641	220071.8000
651	220071.8000
661	220071.8000
671	220071.8000
681	220071.8000
691	220071.8000
701	220071.8000
711	220071.8000
721	220071.8000
731	220071.8000
741	220071.8000
751	220071.8000
761	220071.8000
771	220071.8000
781	220071.8000
791	220071.8000
801	220071.8000
811	220071.8000
821	220071.8000
831	220071.8000
841	220071.8000
851	220071.8000
861	220071.8000
871	220071.8000
881	220071.8000
891	220071.8000
901	220071.8000
911	220071.8000
921	220071.8000
931	220071.8000
941	220071.8000
951	220071.8000
961	220071.8000
971	220071.8000
981	220071.8000
991	220071.8000
1001	220071.8000
1011	220071.8000
1021	218679.8000
1031	218679.8000
1041	218679.8000
1051	218679.8000
1061	218679.8000
1071	218679.8000
1081	218679.8000
1091	218679.8000
1101	218679.8000
1109	218679.8000

✓ 收敛曲线图已生成: 收敛曲线图.png

【机器负载统计】
  机器 1: 批次数=5, 完工时间=215752.6317
  机器 2: 批次数=2, 完工时间=215019.3033
  机器 3: 批次数=2, 完工时间=194995.8998
  机器 4: 批次数=6, 完工时间=218219.9182
  机器 5: 批次数=2, 完工时间=218700.3925


================================================================================
                         实验结果输出完成
================================================================================
