================================================================================
                          实验结果报告
================================================================================
实验名称: 简化评分 - 50%启发式+LocalSearch变异+禁忌搜索+简化评分
算例名称: 2M10J
运行ID: 1
实验时间: 2026-02-07 08:30:54

【参数配置】
  最大代数: 1000000
  种群规模: 100
  变异率: 0.2
  交叉率: 0.8

================================================================================
                          最终实验结果
================================================================================
最优Cmax: 71954.2500
运行时间: 300064 ms (300.06 秒)
终止代数: 31641

【收敛曲线数据】
代数	Cmax
1	76906.5000
11	71954.2500
21	71954.2500
31	71954.2500
41	71954.2500
51	71954.2500
61	71954.2500
71	71954.2500
81	71954.2500
91	71954.2500
101	71954.2500
111	71954.2500
121	71954.2500
131	71954.2500
141	71954.2500
151	71954.2500
161	71954.2500
171	71954.2500
181	71954.2500
191	71954.2500
201	71954.2500
211	71954.2500
221	71954.2500
231	71954.2500
241	71954.2500
251	71954.2500
261	71954.2500
271	71954.2500
281	71954.2500
291	71954.2500
301	71954.2500
311	71954.2500
321	71954.2500
331	71954.2500
341	71954.2500
351	71954.2500
361	71954.2500
371	71954.2500
381	71954.2500
391	71954.2500
401	71954.2500
411	71954.2500
421	71954.2500
431	71954.2500
441	71954.2500
451	71954.2500
461	71954.2500
471	71954.2500
481	71954.2500
491	71954.2500
501	71954.2500
511	71954.2500
521	71954.2500
531	71954.2500
541	71954.2500
551	71954.2500
561	71954.2500
571	71954.2500
581	71954.2500
591	71954.2500
601	71954.2500
611	71954.2500
621	71954.2500
631	71954.2500
641	71954.2500
651	71954.2500
661	71954.2500
671	71954.2500
681	71954.2500
691	71954.2500
701	71954.2500
711	71954.2500
721	71954.2500
731	71954.2500
741	71954.2500
751	71954.2500
761	71954.2500
771	71954.2500
781	71954.2500
791	71954.2500
801	71954.2500
811	71954.2500
821	71954.2500
831	71954.2500
841	71954.2500
851	71954.2500
861	71954.2500
871	71954.2500
881	71954.2500
891	71954.2500
901	71954.2500
911	71954.2500
921	71954.2500
931	71954.2500
941	71954.2500
951	71954.2500
961	71954.2500
971	71954.2500
981	71954.2500
991	71954.2500
1001	71954.2500
1011	71954.2500
1021	71954.2500
1031	71954.2500
1041	71954.2500
1051	71954.2500
1061	71954.2500
1071	71954.2500
1081	71954.2500
1091	71954.2500
1101	71954.2500
1111	71954.2500
1121	71954.2500
1131	71954.2500
1141	71954.2500
1151	71954.2500
1161	71954.2500
1171	71954.2500
1181	71954.2500
1191	71954.2500
1201	71954.2500
1211	71954.2500
1221	71954.2500
1231	71954.2500
1241	71954.2500
1251	71954.2500
1261	71954.2500
1271	71954.2500
1281	71954.2500
1291	71954.2500
1301	71954.2500
1311	71954.2500
1321	71954.2500
1331	71954.2500
1341	71954.2500
1351	71954.2500
1361	71954.2500
1371	71954.2500
1381	71954.2500
1391	71954.2500
1401	71954.2500
1411	71954.2500
1421	71954.2500
1431	71954.2500
1441	71954.2500
1451	71954.2500
1461	71954.2500
1471	71954.2500
1481	71954.2500
1491	71954.2500
1501	71954.2500
1511	71954.2500
1521	71954.2500
1531	71954.2500
1541	71954.2500
1551	71954.2500
1561	71954.2500
1571	71954.2500
1581	71954.2500
1591	71954.2500
1601	71954.2500
1611	71954.2500
1621	71954.2500
1631	71954.2500
1641	71954.2500
1651	71954.2500
1661	71954.2500
1671	71954.2500
1681	71954.2500
1691	71954.2500
1701	71954.2500
1711	71954.2500
1721	71954.2500
