================================================================================
                          实验结果报告
================================================================================
实验名称: 随机初始化 - 0%启发式(全随机)+LocalSearch变异+禁忌搜索+复杂评分
算例名称: 3M60J
运行ID: 4
实验时间: 2026-02-07 11:07:25

【参数配置】
  最大代数: 1000000
  种群规模: 100
  变异率: 0.2
  交叉率: 0.8

================================================================================
                          最终实验结果
================================================================================
最优Cmax: 439900.2000
运行时间: 300042 ms (300.04 秒)
终止代数: 4512

【收敛曲线数据】
代数	Cmax
1	752951.2000
11	499298.5500
21	478767.3000
31	470554.8000
41	470554.8000
51	470554.8000
61	470554.8000
71	470554.8000
81	460973.5500
91	439900.2000
101	439900.2000
111	439900.2000
121	439900.2000
131	439900.2000
141	439900.2000
151	439900.2000
161	439900.2000
171	439900.2000
181	439900.2000
191	439900.2000
201	439900.2000
211	439900.2000
221	439900.2000
231	439900.2000
241	439900.2000
251	439900.2000
261	439900.2000
271	439900.2000
281	439900.2000
291	439900.2000
301	439900.2000
311	439900.2000
321	439900.2000
331	439900.2000
341	439900.2000
351	439900.2000
361	439900.2000
371	439900.2000
381	439900.2000
391	439900.2000
401	439900.2000
411	439900.2000
421	439900.2000
431	439900.2000
441	439900.2000
451	439900.2000
461	439900.2000
471	439900.2000
481	439900.2000
491	439900.2000
501	439900.2000
511	439900.2000
521	439900.2000
531	439900.2000
541	439900.2000
551	439900.2000
561	439900.2000
571	439900.2000
581	439900.2000
591	439900.2000
601	439900.2000
611	439900.2000
621	439900.2000
631	439900.2000
641	439900.2000
651	439900.2000
661	439900.2000
671	439900.2000
681	439900.2000
691	439900.2000
701	439900.2000
711	439900.2000
721	439900.2000
731	439900.2000
741	439900.2000
751	439900.2000
761	439900.2000
771	439900.2000
781	439900.2000
791	439900.2000
801	439900.2000
811	439900.2000
821	439900.2000
831	439900.2000
841	439900.2000
851	439900.2000
861	439900.2000
871	439900.2000
881	439900.2000
891	439900.2000
901	439900.2000
911	439900.2000
921	439900.2000
931	439900.2000
941	439900.2000
951	439900.2000
961	439900.2000
971	439900.2000
981	439900.2000
991	439900.2000
1001	439900.2000
1011	439900.2000
1021	439900.2000
1031	439900.2000
1041	439900.2000
1051	439900.2000
1061	439900.2000
1071	439900.2000
1081	439900.2000
1091	439900.2000
1101	439900.2000
1111	439900.2000
1121	439900.2000
1131	439900.2000
1141	439900.2000
1151	439900.2000
1161	439900.2000
1171	439900.2000
1181	439900.2000
1191	439900.2000
1201	439900.2000
1211	439900.2000
1221	439900.2000
1231	439900.2000
1241	439900.2000
1251	439900.2000
1261	439900.2000
1271	439900.2000
1281	439900.2000
1291	439900.2000
1301	439900.2000
1311	439900.2000
1321	439900.2000
1331	439900.2000
1341	439900.2000
1351	439900.2000
1361	439900.2000
1371	439900.2000
1381	439900.2000
1391	439900.2000
1401	439900.2000
1411	439900.2000
1421	439900.2000
1431	439900.2000
1441	439900.2000
1451	439900.2000
1461	439900.2000
1471	439900.2000
1481	439900.2000
1491	439900.2000
1501	439900.2000
1511	439900.2000
1521	439900.2000
1531	439900.2000
1541	439900.2000
1551	439900.2000
1561	439900.2000
1571	439900.2000
1581	439900.2000
1591	439900.2000
1601	439900.2000
1611	439900.2000
1621	439900.2000
1631	439900.2000
1641	439900.2000
1651	439900.2000
1661	439900.2000
1671	439900.2000
1681	439900.2000
1691	439900.2000
1701	439900.2000
1711	439900.2000
1721	439900.2000
1731	439900.2000
1741	439900.2000
1751	439900.2000
1761	439900.2000
1771	439900.2000
1781	439900.2000
1791	439900.2000
1801	439900.2000
1811	439900.2000
1821	439900.2000
1831	439900.2000
1841	439900.2000
1851	439900.2000
1861	439900.2000
1871	439900.2000
1881	439900.2000
1891	439900.2000
1901	439900.2000
1911	439900.2000
1921	439900.2000
1931	439900.2000
1941	439900.2000
1951	439900.2000
1961	439900.2000
1971	439900.2000
1981	439900.2000
1991	439900.2000
2001	439900.2000
2011	439900.2000
2021	439900.2000
2031	439900.2000
2041	439900.2000
2051	439900.2000
2061	439900.2000
2071	439900.2000
2081	439900.2000
2091	439900.2000
2101	439900.2000
2111	439900.2000
2121	439900.2000
2131	439900.2000
2141	439900.2000
2151	439900.2000
2161	439900.2000
2171	439900.2000
2181	439900.2000
2191	439900.2000
2201	439900.2000
2211	439900.2000
2221	439900.2000
2231	439900.2000
2241	439900.2000
2251	439900.2000
2261	439900.2000
2271	439900.2000
2281	439900.2000
2291	439900.2000
2301	439900.2000
2311	439900.2000
2321	439900.2000
2331	439900.2000
2341	439900.2000
2351	439900.2000
2361	439900.2000
2371	439900.2000
2381	439900.2000
2391	439900.2000
2401	439900.2000
2411	439900.2000
2421	439900.2000
2431	439900.2000
2441	439900.2000
2451	439900.2000
2461	439900.2000
2471	439900.2000
2481	439900.2000
2491	439900.2000
2501	439900.2000
2511	439900.2000
2521	439900.2000
2531	439900.2000
2541	439900.2000
2551	439900.2000
2561	439900.2000
2571	439900.2000
2581	439900.2000
2591	439900.2000
2601	439900.2000
2611	439900.2000
2621	439900.2000
2631	439900.2000
2641	439900.2000
2651	439900.2000
2661	439900.2000
2671	439900.2000
2681	439900.2000
2691	439900.2000
2701	439900.2000
2711	439900.2000
2721	439900.2000
2731	439900.2000
2741	439900.2000
2751	439900.2000
2761	439900.2000
2771	439900.2000
2781	439900.2000
2791	439900.2000
2801	439900.2000
2811	439900.2000
2821	439900.2000
2831	439900.2000
2841	439900.2000
2851	439900.2000
2861	439900.2000
2871	439900.2000
2881	439900.2000
2891	439900.2000
2901	439900.2000
2911	439900.2000
2921	439900.2000
2931	439900.2000
2941	439900.2000
