╔═══════════════════════════════════════════════════════════════╗
║           NSGA-II 多目标优化结果                              ║
╚═══════════════════════════════════════════════════════════════╝

生成时间: Thu Jan 08 12:12:52 CST 2026
算例文件: C:\Users\Zhang Hailong\Desktop\毕设相关\毕设程序\Article\chapter-2\src\main\resources\instance\J100\J100P4B2D10_05.txt

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  问题信息
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
工件数:       100
机器总数:     16
打印机数:     4
批处理机数:   2

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  算法参数
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
种群规模:     100
最大代数:     200
交叉率:       0.9
变异率:       0.1
最大运行时间: 10.0 分钟

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  Pareto前沿（共 100 个解）
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

序号     Cmax         能耗(kWh)        PackingQ     批次数        拥挤距离        
────────────────────────────────────────────────────────────────────────
1      57753.80     70962981.08    0.1020       8          INF         
2      57753.80     70962981.08    0.1020       8          INF         
3      58005.80     70960172.88    0.1020       8          0.5650      
4      58005.80     70960172.88    0.1020       8          0.0247      
5      58180.59     66566064.03    0.2016       8          0.5791      
6      58180.59     66566064.03    0.2016       8          0.0434      
7      58533.82     66408334.66    0.2016       8          0.0499      
8      58533.82     66408334.66    0.2016       8          0.0493      
9      58755.00     66408307.66    0.2016       8          0.0618      
10     58755.00     66408307.66    0.2016       8          0.0319      
11     58983.38     66151620.94    0.2471       8          0.0625      
12     58983.38     66151620.94    0.2471       8          0.0319      
13     59209.82     66151619.94    0.2471       8          0.0320      
14     59209.82     66151619.94    0.2471       8          0.0269      
15     59402.38     66148189.34    0.2471       8          0.0570      
16     59614.38     66147324.34    0.2471       8          0.0296      
17     59614.38     66147324.34    0.2471       8          0.0019      
18     59627.38     66146843.34    0.2471       8          0.0705      
19     59627.38     66146843.34    0.2471       8          0.0018      
20     60132.38     66146689.06    0.2471       8          0.0781      
21     60186.82     66146671.14    0.2471       8          0.0441      
22     60186.82     66146671.14    0.2471       8          0.0033      
23     60210.45     65844102.89    0.2471       8          0.0620      
24     60210.45     65844102.89    0.2471       8          0.0543      
25     60393.45     65420763.64    0.2471       8          0.0621      
26     60393.45     65420763.64    0.2471       8          0.0257      
27     60472.45     65419732.97    0.2471       8          0.0412      
28     60472.45     65419732.97    0.2471       8          0.0104      
29     60546.00     65169068.43    0.2178       8          0.0396      
30     60546.00     65169068.43    0.2178       8          0.0107      
31     60613.00     65165666.48    0.2178       8          0.0095      
32     60613.00     65165666.48    0.2178       8          0.0051      
