Algorithm,Run,HV,IGD,RunTime
NSGAII,1,0.89223656,0.15999316,300.01
NSGAII,2,0.75604292,0.19828974,300.12
NSGAII,3,0.78339293,0.22591313,300.06
NSGAII,4,0.95636505,0.09715849,300.04
NSGAII,5,0.51961627,0.41129996,300.06
NSGAII,6,0.94478094,0.08533430,300.34
NSGAII,7,0.56858721,0.35816615,300.55
NSGAII,8,0.89155875,0.11885386,300.32
NSGAII,9,0.84883492,0.29058187,300.07
NSGAII,10,1.02418531,0.08856124,300.27
NSGAII-Basic,1,0.65034094,0.22624977,300.04
NSGAII-Basic,2,0.62846952,0.27982783,300.03
NSGAII-Basic,3,0.46126187,0.39065509,300.07
NSGAII-Basic,4,0.36660481,0.45963871,300.07
NSGAII-Basic,5,0.56740480,0.28880807,300.08
NSGAII-Basic,6,0.47304450,0.35323819,300.05
NSGAII-Basic,7,0.41370743,0.42523263,300.03
NSGAII-Basic,8,0.42376466,0.40223414,300.05
NSGAII-Basic,9,0.51172717,0.33979322,300.05
NSGAII-Basic,10,0.70504356,0.22764456,300.01
MOEAD,1,0.11957923,0.77795705,300.46
MOEAD,2,0.15725667,0.72535121,300.34
MOEAD,3,0.04397949,0.93445367,300.02
MOEAD,4,0.10793069,0.80102556,300.42
MOEAD,5,0.24509608,0.59447424,300.27
MOEAD,6,0.33725548,0.48705668,300.07
MOEAD,7,0.27604011,0.54956368,300.78
MOEAD,8,0.15994566,0.74485698,300.81
MOEAD,9,0.09593963,0.82535498,300.76
MOEAD,10,0.12119118,0.76771813,300.31
MOGWO,1,0.19760762,0.68397024,300.97
MOGWO,2,0.20900323,0.66945653,301.09
MOGWO,3,0.07455056,0.88192176,300.47
MOGWO,4,0.09181784,0.85681588,300.47
MOGWO,5,0.22489719,0.70225391,301.17
MOGWO,6,0.26965674,0.63633708,300.93
MOGWO,7,0.21534833,0.67039689,300.46
MOGWO,8,0.20757700,0.67921294,300.55
MOGWO,9,0.05303826,0.91508401,300.79
MOGWO,10,0.19088989,0.68863966,300.37
SPEA2,1,0.49232579,0.34334160,300.10
SPEA2,2,0.53955648,0.33690015,300.18
SPEA2,3,0.62834962,0.28048852,300.15
SPEA2,4,0.48870271,0.34624742,300.14
SPEA2,5,0.58577936,0.28624017,300.04
SPEA2,6,0.30281219,0.52515215,300.19
SPEA2,7,0.55030201,0.34159943,300.00
SPEA2,8,0.24293796,0.59761151,300.01
SPEA2,9,0.42563937,0.40387061,300.16
SPEA2,10,0.49619867,0.34473139,300.12
