Algorithm,Run,HV,IGD,RunTime
NSGAII,1,0.11986154,0.10045904,300.20
NSGAII,2,0.24411895,0.13492057,300.18
NSGAII,3,0.11723903,0.04490826,300.08
NSGAII,4,0.02874618,0.06510443,300.19
NSGAII,5,0.01878890,0.06195746,300.05
NSGAII,6,0.04117517,0.06595058,300.05
NSGAII,7,0.19725474,0.12980771,300.17
NSGAII,8,0.54198155,0.19306041,300.20
NSGAII,9,0.09315877,0.07243445,300.20
NSGAII,10,0.17763840,0.12444097,300.15
NSGAII-Basic,1,0.09066800,0.03635188,300.01
NSGAII-Basic,2,0.21865078,0.02365776,300.01
NSGAII-Basic,3,0.21238004,0.07879906,300.00
NSGAII-Basic,4,0.53105051,0.86165807,300.02
NSGAII-Basic,5,0.14367766,0.02524701,300.01
NSGAII-Basic,6,0.22228054,0.01361837,300.01
NSGAII-Basic,7,0.13353477,0.03475062,300.01
NSGAII-Basic,8,0.10988043,0.02444699,300.01
NSGAII-Basic,9,0.28245958,0.05562607,300.01
NSGAII-Basic,10,0.20790201,0.03017209,300.01
MOEAD,1,0.12871630,0.17427130,300.15
MOEAD,2,0.35831378,0.88789221,300.04
MOEAD,3,0.13833616,0.14765730,300.04
MOEAD,4,0.15494626,0.07683223,300.10
MOEAD,5,0.16731921,0.15609204,300.07
MOEAD,6,0.10612826,0.08848631,300.01
MOEAD,7,0.18108200,0.16190000,300.13
MOEAD,8,0.23413115,0.25476729,300.06
MOEAD,9,0.08918881,1.28209062,300.15
MOEAD,10,0.25132183,0.31344017,300.06
MOGWO,1,0.29921683,0.38266054,300.26
MOGWO,2,0.32084400,0.39048262,300.23
MOGWO,3,0.30967455,0.91988883,300.20
MOGWO,4,0.25064798,0.28182149,300.09
MOGWO,5,0.28157086,0.41129092,300.29
MOGWO,6,0.19998258,0.22592332,300.18
MOGWO,7,0.36176939,0.34152716,300.28
MOGWO,8,0.29743490,0.32496990,300.28
MOGWO,9,0.28934648,0.92955573,300.23
MOGWO,10,0.17952287,0.81163846,300.03
SPEA2,1,0.11069441,0.12751747,300.04
SPEA2,2,0.16353700,0.07007058,300.02
SPEA2,3,0.14740548,0.06093806,300.07
SPEA2,4,0.12800141,0.04590912,300.08
SPEA2,5,0.24954615,0.10438996,300.08
SPEA2,6,0.29958955,0.06014460,300.03
SPEA2,7,0.21545728,0.04030254,300.02
SPEA2,8,0.10957100,0.06603009,300.07
SPEA2,9,0.44208954,0.11548555,300.02
SPEA2,10,0.06145245,0.07964861,300.02
