╔═══════════════════════════════════════════════════════════════╗
║           NSGA-II 多目标优化结果                              ║
╚═══════════════════════════════════════════════════════════════╝

生成时间: Thu Jan 08 13:21:42 CST 2026
算例文件: C:\Users\Zhang Hailong\Desktop\毕设相关\毕设程序\Article\chapter-2\src\main\resources\instance\J100\J100P4B2D10_05.txt

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  问题信息
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
工件数:       100
机器总数:     16
打印机数:     4
批处理机数:   2

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  算法参数
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
种群规模:     100
最大代数:     200
交叉率:       0.9
变异率:       0.1
最大运行时间: 10.0 分钟

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  Pareto前沿（共 100 个解）
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

序号     Cmax         能耗(kWh)        PackingQ     批次数        拥挤距离        
────────────────────────────────────────────────────────────────────────
1      58419.00     9580335.95     0.7175       6          INF         
2      58419.00     9580335.95     0.7175       6          INF         
3      58419.00     9580335.95     0.7175       6          0.0000      
4      58419.00     9580335.95     0.7175       6          0.0000      
5      58419.00     9580335.95     0.7175       6          0.0000      
6      58419.00     9580335.95     0.7175       6          0.0000      
7      58419.00     9580335.95     0.7175       6          0.0000      
8      58419.00     9580335.95     0.7175       6          0.0000      
9      58487.00     9580332.95     0.7175       6          0.5356      
10     58487.00     9580332.95     0.7175       6          0.0964      
11     58487.00     9580332.95     0.7175       6          0.0000      
12     58487.00     9580332.95     0.7175       6          0.0000      
13     58487.00     9580332.95     0.7175       6          0.0000      
14     58487.00     9580332.95     0.7175       6          0.0000      
15     58487.00     9580332.95     0.7175       6          0.0000      
16     58487.00     9580332.95     0.7175       6          0.0000      
17     58708.00     9578089.95     0.7175       6          0.5096      
18     58708.00     9578089.95     0.7175       6          0.0966      
19     58708.00     9578089.95     0.7175       6          0.0000      
20     58708.00     9578089.95     0.7175       6          0.0000      
21     58708.00     9578089.95     0.7175       6          0.0000      
22     58708.00     9578089.95     0.7175       6          0.0000      
23     58708.00     9578089.95     0.7175       6          0.0000      
24     58708.00     9578089.95     0.7175       6          0.0000      
25     58716.00     9578085.95     0.7175       6          0.0767      
26     58716.00     9578085.95     0.7175       6          0.0089      
27     58716.00     9578085.95     0.7175       6          0.0000      
28     58716.00     9578085.95     0.7175       6          0.0000      
29     58716.00     9578085.95     0.7175       6          0.0000      
30     58716.00     9578085.95     0.7175       6          0.0000      
31     58716.00     9578085.95     0.7175       6          0.0000      
32     58891.00     9578061.95     0.7175       6          0.0839      
33     58891.00     9578061.95     0.7175       6          0.0071      
34     58891.00     9578061.95     0.7175       6          0.0000      
35     58891.00     9578061.95     0.7175       6          0.0000      
36     58891.00     9578061.95     0.7175       6          0.0000      
37     58891.00     9578061.95     0.7175       6          0.0000      
38     58891.00     9578061.95     0.7175       6          0.0000      
39     58895.00     9578026.21     0.7175       6          0.1699      
40     58895.00     9578026.21     0.7175       6          0.0297      
41     58895.00     9578026.21     0.7175       6          0.0000      
42     58895.00     9578026.21     0.7175       6          0.0000      
43     58895.00     9578026.21     0.7175       6          0.0000      
44     58895.00     9578026.21     0.7175       6          0.0000      
45     58895.00     9578026.21     0.7175       6          0.0000      
46     58895.00     9578026.21     0.7175       6          0.0000      
47     58945.00     9577280.95     0.7175       6          0.1894      
48     58945.00     9577280.95     0.7175       6          0.0219      
49     58945.00     9577280.95     0.7175       6          0.0000      
50     58945.00     9577280.95     0.7175       6          0.0000      
51     58945.00     9577280.95     0.7175       6          0.0000      
52     58945.00     9577280.95     0.7175       6          0.0000      
53     58945.00     9577280.95     0.7175       6          0.0000      
54     58945.00     9577280.95     0.7175       6          0.0000      
55     58994.00     9577279.95     0.7175       6          0.2514      
56     58994.00     9577279.95     0.7175       6          0.0089      
57     58994.00     9577279.95     0.7175       6          0.0000      
58     58994.00     9577279.95     0.7175       6          0.0000      
59     58994.00     9577279.95     0.7175       6          0.0000      
60     58994.00     9577279.95     0.7175       6          0.0000      
61     58994.00     9577279.95     0.7175       6          0.0000      
62     58994.00     9577279.95     0.7175       6          0.0000      
63     59014.00     9576259.95     0.7175       6          0.2756      
64     59014.00     9576259.95     0.7175       6          0.0093      
65     59014.00     9576259.95     0.7175       6          0.0000      
66     59014.00     9576259.95     0.7175       6          0.0000      
67     59014.00     9576259.95     0.7175       6          0.0000      
68     59014.00     9576259.95     0.7175       6          0.0000      
69     59014.00     9576259.95     0.7175       6          0.0000      
70     59014.00     9576259.95     0.7175       6          0.0000      
71     59119.00     9576256.95     0.7175       6          0.2454      
72     59119.00     9576256.95     0.7175       6          0.1235      
73     59119.00     9576256.95     0.7175       6          0.0000      
74     59119.00     9576256.95     0.7175       6          0.0000      
75     59119.00     9576256.95     0.7175       6          0.0000      
76     59119.00     9576256.95     0.7175       6          0.0000      
77     59119.00     9576256.95     0.7175       6          0.0000      
78     59119.00     9576256.95     0.7175       6          0.0000      
79     59684.00     9575911.21     0.7175       6          0.2452      
80     59684.00     9575911.21     0.7175       6          0.0914      
81     59684.00     9575911.21     0.7175       6          0.0000      
82     59684.00     9575911.21     0.7175       6          0.0000      
83     59715.00     9575908.91     0.7175       6          0.2993      
84     59715.00     9575908.91     0.7175       6          0.0138      
85     59715.00     9575908.91     0.7175       6          0.0000      
86     59715.00     9575908.91     0.7175       6          0.0000      
87     59715.00     9575908.91     0.7175       6          0.0000      
88     59715.00     9575908.91     0.7175       6          0.0000      
89     59715.00     9575908.91     0.7175       6          0.0000      
90     59715.00     9575908.91     0.7175       6          0.0000      
91     60405.00     9575907.31     0.7175       6          0.3507      
92     60523.00     9575905.31     0.7175       6          0.1406      
93     60728.00     9575904.31     0.7175       6          INF         
94     60728.00     9575904.31     0.7175       6          INF         
95     60728.00     9575904.31     0.7175       6          0.0000      
96     60728.00     9575904.31     0.7175       6          0.0000      
97     60728.00     9575904.31     0.7175       6          0.0000      
98     60728.00     9575904.31     0.7175       6          0.0000      
99     60728.00     9575904.31     0.7175       6          0.0000      
100    60728.00     9575904.31     0.7175       6          0.0000      

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  统计信息
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

Cmax范围:      [58419.00, 60728.00]
能耗范围:      [9575904.31, 9580335.95] kWh
Cmax变化幅度:  3.95%
能耗变化幅度:  0.05%

═══════════════════════════════════════════════════════════════
