╔═══════════════════════════════════════════════════════════════╗
║           NSGA-II 多目标优化结果                              ║
╚═══════════════════════════════════════════════════════════════╝

生成时间: Mon Jan 26 12:17:34 CST 2026
算例文件: C:\Users\Zhang Hailong\Desktop\毕设相关\毕设程序\Article\chapter-3\src\main\resources\instance\J100P5B4D10_02.txt

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  问题信息
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
工件数:       100
机器总数:     17
打印机数:     5
批处理机数:   2

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  算法参数
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
种群规模:     100
最大代数:     200
交叉率:       0.9
变异率:       0.1
最大运行时间: 1.0 分钟

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  Pareto前沿（共 100 个解）
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

序号     Cmax         能耗(kWh)        PackingQ     批次数        拥挤距离        
────────────────────────────────────────────────────────────────────────
1      51300.28     626.69         0.4689       12         INF         
2      51300.28     626.69         0.4689       12         INF         
3      51300.28     626.69         0.4689       12         0.0000      
4      51300.28     626.69         0.4689       12         0.0000      
5      51300.28     626.69         0.4689       12         0.0000      
6      51300.28     626.69         0.4689       12         0.0000      
7      51300.28     626.69         0.4689       12         0.0000      
8      51300.28     626.69         0.4689       12         0.0000      
9      51300.28     626.69         0.4689       12         0.0000      
10     51300.28     626.69         0.4689       12         0.0000      
11     51300.28     626.69         0.4689       12         0.0000      
12     51300.28     626.69         0.4689       12         0.0000      
13     51300.28     626.69         0.4689       12         0.0000      
14     51300.28     626.69         0.4689       12         0.0000      
15     51300.28     626.69         0.4689       12         0.0000      
16     51300.28     626.69         0.4689       12         0.0000      
17     51350.28     626.68         0.4689       12         1.3204      
18     51350.28     626.68         0.4689       12         0.6796      
19     51350.28     626.68         0.4689       12         0.0000      
20     51350.28     626.68         0.4689       12         0.0000      
21     51350.28     626.68         0.4689       12         0.0000      
22     51350.28     626.68         0.4689       12         0.0000      
23     51350.28     626.68         0.4689       12         0.0000      
24     51350.28     626.68         0.4689       12         0.0000      
25     51350.28     626.68         0.4689       12         0.0000      
26     51350.28     626.68         0.4689       12         0.0000      
27     51350.28     626.68         0.4689       12         0.0000      
28     51350.28     626.68         0.4689       12         0.0000      
29     51350.28     626.68         0.4689       12         0.0000      
30     51350.28     626.68         0.4689       12         0.0000      
31     51350.28     626.68         0.4689       12         0.0000      
32     51350.28     626.68         0.4689       12         0.0000      
33     51350.28     626.68         0.4689       12         0.0000      
34     51350.28     626.68         0.4689       12         0.0000      
35     51350.28     626.68         0.4689       12         0.0000      
36     51350.28     626.68         0.4689       12         0.0000      
37     51350.28     626.68         0.4689       12         0.0000      
38     51350.28     626.68         0.4689       12         0.0000      
39     51350.28     626.68         0.4689       12         0.0000      
40     51350.28     626.68         0.4689       12         0.0000      
41     51350.28     626.68         0.4689       12         0.0000      
42     51350.28     626.68         0.4689       12         0.0000      
43     51350.28     626.68         0.4689       12         0.0000      
44     51350.28     626.68         0.4689       12         0.0000      
45     51350.28     626.68         0.4689       12         0.0000      
46     51350.28     626.68         0.4689       12         0.0000      
47     51350.28     626.68         0.4689       12         0.0000      
48     51350.28     626.68         0.4689       12         0.0000      
49     51350.28     626.68         0.4689       12         0.0000      
50     51350.28     626.68         0.4689       12         0.0000      
51     51350.28     626.68         0.4689       12         0.0000      
52     51350.28     626.68         0.4689       12         0.0000      
53     51350.28     626.68         0.4689       12         0.0000      
54     51350.28     626.68         0.4689       12         0.0000      
55     51350.28     626.68         0.4689       12         0.0000      
56     51350.28     626.68         0.4689       12         0.0000      
57     51350.28     626.68         0.4689       12         0.0000      
58     51350.28     626.68         0.4689       12         0.0000      
59     51350.28     626.68         0.4689       12         0.0000      
60     51350.28     626.68         0.4689       12         0.0000      
61     51350.28     626.68         0.4689       12         0.0000      
62     51350.28     626.68         0.4689       12         0.0000      
63     51350.28     626.68         0.4689       12         0.0000      
64     51350.28     626.68         0.4689       12         0.0000      
65     51350.28     626.68         0.4689       12         0.0000      
66     51350.28     626.68         0.4689       12         0.0000      
67     51350.28     626.68         0.4689       12         0.0000      
68     51350.28     626.68         0.4689       12         0.0000      
69     51350.28     626.68         0.4689       12         0.0000      
70     51350.28     626.68         0.4689       12         0.0000      
71     51350.28     626.68         0.4689       12         0.0000      
72     51350.28     626.68         0.4689       12         0.0000      
73     51350.28     626.68         0.4689       12         0.0000      
74     51350.28     626.68         0.4689       12         0.0000      
75     51350.28     626.68         0.4689       12         0.0000      
76     51350.28     626.68         0.4689       12         0.0000      
77     51350.28     626.68         0.4689       12         0.0000      
78     51350.28     626.68         0.4689       12         0.0000      
79     51350.28     626.68         0.4689       12         0.0000      
80     51350.28     626.68         0.4689       12         0.0000      
81     51350.28     626.68         0.4689       12         0.0000      
82     51350.28     626.68         0.4689       12         0.0000      
83     51350.28     626.68         0.4689       12         0.0000      
84     51350.28     626.68         0.4689       12         0.0000      
85     51350.28     626.68         0.4689       12         0.0000      
86     51350.28     626.68         0.4689       12         0.0000      
87     52468.65     626.65         0.4689       12         INF         
88     52468.65     626.65         0.4689       12         INF         
89     52468.65     626.65         0.4689       12         0.0000      
90     52468.65     626.65         0.4689       12         0.0000      
91     52468.65     626.65         0.4689       12         0.0000      
92     52468.65     626.65         0.4689       12         0.0000      
93     52468.65     626.65         0.4689       12         0.0000      
94     52468.65     626.65         0.4689       12         0.0000      
95     52468.65     626.65         0.4689       12         0.0000      
96     52468.65     626.65         0.4689       12         0.0000      
97     52468.65     626.65         0.4689       12         0.0000      
98     52468.65     626.65         0.4689       12         0.0000      
99     52468.65     626.65         0.4689       12         0.0000      
100    52468.65     626.65         0.4689       12         0.0000      

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  统计信息
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

Cmax范围:      [51300.28, 52468.65]
能耗范围:      [626.65, 626.69] kWh
Cmax变化幅度:  2.28%
能耗变化幅度:  0.01%

═══════════════════════════════════════════════════════════════
