Pareto前沿解集
================================================================================

解的数量: 100

--------------------------------------------------------------------------------
序号       Cmax                 能耗(kWh)              装箱质量            批次数       
--------------------------------------------------------------------------------
1        67560.16             849.86               0.3558          12        
2        67560.16             849.86               0.3558          12        
3        66323.06             869.28               0.0573          13        
4        66323.06             869.28               0.0573          13        
5        66699.74             857.07               0.2611          12        
6        66699.74             857.07               0.2611          12        
7        67304.16             851.12               0.3558          12        
8        67304.16             851.12               0.3558          12        
9        67489.16             850.06               0.3558          12        
10       67373.16             850.07               0.3558          12        
11       67335.74             851.10               0.3558          12        
12       67366.16             850.09               0.3558          12        
13       67489.16             850.06               0.3558          12        
14       67366.16             850.09               0.3558          12        
15       67335.74             851.10               0.3558          12        
16       67373.16             850.07               0.3558          12        
17       67560.16             849.86               0.3558          12        
18       67304.16             851.12               0.3558          12        
19       67489.16             850.06               0.3558          12        
20       67366.16             850.09               0.3558          12        
21       67335.74             851.10               0.3558          12        
22       67373.16             850.07               0.3558          12        
23       67560.16             849.86               0.3558          12        
24       67304.16             851.12               0.3558          12        
25       67489.16             850.06               0.3558          12        
26       67366.16             850.09               0.3558          12        
27       67335.74             851.10               0.3558          12        
28       67373.16             850.07               0.3558          12        
29       67560.16             849.86               0.3558          12        
30       67304.16             851.12               0.3558          12        
31       67489.16             850.06               0.3558          12        
32       67366.16             850.09               0.3558          12        
33       67335.74             851.10               0.3558          12        
34       67373.16             850.07               0.3558          12        
35       67560.16             849.86               0.3558          12        
36       67304.16             851.12               0.3558          12        
37       67489.16             850.06               0.3558          12        
38       67366.16             850.09               0.3558          12        
39       67335.74             851.10               0.3558          12        
40       67373.16             850.07               0.3558          12        
41       67560.16             849.86               0.3558          12        
42       67304.16             851.12               0.3558          12        
43       67489.16             850.06               0.3558          12        
44       67366.16             850.09               0.3558          12        
45       67335.74             851.10               0.3558          12        
46       67373.16             850.07               0.3558          12        
47       67560.16             849.86               0.3558          12        
48       67304.16             851.12               0.3558          12        
49       67489.16             850.06               0.3558          12        
50       67366.16             850.09               0.3558          12        
51       67335.74             851.10               0.3558          12        
52       67373.16             850.07               0.3558          12        
53       67560.16             849.86               0.3558          12        
54       67304.16             851.12               0.3558          12        
55       67489.16             850.06               0.3558          12        
56       67366.16             850.09               0.3558          12        
57       67335.74             851.10               0.3558          12        
58       67373.16             850.07               0.3558          12        
59       67560.16             849.86               0.3558          12        
60       67304.16             851.12               0.3558          12        
61       67489.16             850.06               0.3558          12        
62       67366.16             850.09               0.3558          12        
63       67335.74             851.10               0.3558          12        
64       67373.16             850.07               0.3558          12        
65       67560.16             849.86               0.3558          12        
66       67304.16             851.12               0.3558          12        
67       67489.16             850.06               0.3558          12        
68       67366.16             850.09               0.3558          12        
69       67335.74             851.10               0.3558          12        
70       67373.16             850.07               0.3558          12        
71       67560.16             849.86               0.3558          12        
72       67304.16             851.12               0.3558          12        
73       67489.16             850.06               0.3558          12        
74       67366.16             850.09               0.3558          12        
75       67335.74             851.10               0.3558          12        
76       67373.16             850.07               0.3558          12        
77       67560.16             849.86               0.3558          12        
78       67304.16             851.12               0.3558          12        
79       67489.16             850.06               0.3558          12        
80       67335.74             851.10               0.3558          12        
81       67373.16             850.07               0.3558          12        
82       67560.16             849.86               0.3558          12        
83       67304.16             851.12               0.3558          12        
84       67489.16             850.06               0.3558          12        
85       67335.74             851.10               0.3558          12        
86       67373.16             850.07               0.3558          12        
87       67560.16             849.86               0.3558          12        
88       67304.16             851.12               0.3558          12        
89       67489.16             850.06               0.3558          12        
90       67335.74             851.10               0.3558          12        
91       67373.16             850.07               0.3558          12        
92       67560.16             849.86               0.3558          12        
93       67304.16             851.12               0.3558          12        
94       67489.16             850.06               0.3558          12        
95       67335.74             851.10               0.3558          12        
96       67373.16             850.07               0.3558          12        
97       67560.16             849.86               0.3558          12        
98       67304.16             851.12               0.3558          12        
99       67489.16             850.06               0.3558          12        
100      67335.74             851.10               0.3558          12        
--------------------------------------------------------------------------------

统计信息:
  Cmax范围: [66323.06, 67560.16]
  能耗范围: [849.86, 869.28] kWh
  Cmax改进: 1.83%
  能耗改进: 2.23%
