================================================================================
                          实验结果报告
================================================================================
算法名称: PSO粒子群算法
实验次数: 第 4 次
实验时间: 2025-12-22 14:24:19

【参数配置】
PSOParameters{
  swarmSize=100, w=0.70, c1=1.50, c2=1.50
  maxStagnantStep=30000 (早停阈值), maxRunTime=3.0分钟
}

================================================================================
                        PSO算法开始运行
================================================================================
粒子群大小: 100
惯性权重 w: 0.7
个体学习因子 c1: 1.5
社会学习因子 c2: 1.5
最大停滞步数: 30000
最大运行时间: 3.0 分钟
================================================================================

[初始化] 生成初始粒子群...
[初始化] 初始最优 Makespan: 36277.83

开始迭代优化...

代数   10 | 最优 Makespan: 35454.83 | 改进: +2.27% | 停滞: 3
代数   20 | 最优 Makespan: 35454.83 | 改进: +0.00% | 停滞: 13
代数   30 | 最优 Makespan: 35454.83 | 改进: +0.00% | 停滞: 23
代数   40 | 最优 Makespan: 35454.83 | 改进: +0.00% | 停滞: 33
代数   50 | 最优 Makespan: 35454.83 | 改进: +0.00% | 停滞: 43
代数   60 | 最优 Makespan: 35454.83 | 改进: +0.00% | 停滞: 53
代数   70 | 最优 Makespan: 35454.83 | 改进: +0.00% | 停滞: 63
代数   80 | 最优 Makespan: 35454.83 | 改进: +0.00% | 停滞: 73
代数   90 | 最优 Makespan: 35454.83 | 改进: +0.00% | 停滞: 83
代数  100 | 最优 Makespan: 35454.83 | 改进: +0.00% | 停滞: 93
代数  110 | 最优 Makespan: 35454.83 | 改进: +0.00% | 停滞: 103
代数  120 | 最优 Makespan: 35454.83 | 改进: +0.00% | 停滞: 113
代数  130 | 最优 Makespan: 35454.83 | 改进: +0.00% | 停滞: 123
代数  140 | 最优 Makespan: 35454.83 | 改进: +0.00% | 停滞: 133
代数  150 | 最优 Makespan: 35454.83 | 改进: +0.00% | 停滞: 143
代数  160 | 最优 Makespan: 35454.83 | 改进: +0.00% | 停滞: 153
代数  170 | 最优 Makespan: 35454.83 | 改进: +0.00% | 停滞: 163
代数  180 | 最优 Makespan: 35454.83 | 改进: +0.00% | 停滞: 173
代数  190 | 最优 Makespan: 35397.68 | 改进: +0.16% | 停滞: 1
代数  200 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 11
代数  210 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 21
代数  220 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 31
代数  230 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 41
代数  240 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 51
代数  250 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 61
代数  260 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 71
代数  270 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 81
代数  280 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 91
代数  290 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 101
代数  300 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 111
代数  310 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 121
代数  320 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 131
代数  330 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 141
代数  340 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 151
代数  350 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 161
代数  360 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 171
代数  370 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 181
代数  380 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 191
代数  390 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 201
代数  400 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 211
代数  410 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 221
代数  420 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 231
代数  430 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 241
代数  440 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 251
代数  450 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 261
代数  460 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 271
代数  470 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 281
代数  480 | 最优 Makespan: 35397.68 | 改进: +0.00% | 停滞: 291
代数  490 | 最优 Makespan: 35103.68 | 改进: +0.83% | 停滞: 5
代数  500 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 15
代数  510 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 25
代数  520 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 35
代数  530 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 45
代数  540 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 55
代数  550 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 65
代数  560 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 75
代数  570 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 85
代数  580 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 95
代数  590 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 105
代数  600 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 115
代数  610 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 125
代数  620 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 135
代数  630 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 145
代数  640 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 155
代数  650 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 165
代数  660 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 175
代数  670 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 185
代数  680 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 195
代数  690 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 205
代数  700 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 215
代数  710 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 225
代数  720 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 235
代数  730 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 245
代数  740 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 255
代数  750 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 265
代数  760 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 275
代数  770 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 285
代数  780 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 295
代数  790 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 305
代数  800 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 315
代数  810 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 325
代数  820 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 335
代数  830 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 345
代数  840 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 355
代数  850 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 365
代数  860 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 375
代数  870 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 385
代数  880 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 395
代数  890 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 405
代数  900 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 415
代数  910 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 425
代数  920 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 435
代数  930 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 445
代数  940 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 455
代数  950 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 465
代数  960 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 475
代数  970 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 485
代数  980 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 495
代数  990 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 505
代数 1000 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 515
代数 1010 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 525
代数 1020 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 535
代数 1030 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 545
代数 1040 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 555
代数 1050 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 565
代数 1060 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 575
代数 1070 | 最优 Makespan: 35103.68 | 改进: +0.00% | 停滞: 585
