================================================================================
                          田口实验结果报告
================================================================================
算例名称: 随机密钥GA算法
实验次数: 第 3 次
实验时间: 2025-12-21 20:06:32

【参数配置】
GAParameters{
  popSize=200, pr=0.15, pc=0.90, pm=0.30
  maxStagnantStep=300000 (早停阈值), maxRunTime=3.0分钟
  localSearch: 启用 (maxIter=10, noImprove=3)
  heuristicInit: 启用 (ratio=0.80)
  candidates: N1N2=10, N3=5, N4=8, N5=6
}

========== 随机密钥遗传算法开始 ==========
问题规模: 50个零件, 3台打印机
种群大小: 200
交叉率: 0.9
变异率: 0.3
精英保留比例: 10.0%
终止条件: 3.0分钟 或 300000代无改进
==========================================

正在初始化种群...
初始种群最优解: Makespan = 71964.44
初始种群平均解: Makespan = 93253.29

Gen    1 | 最优: 71753.00 | 平均: 88838.42 | 改进: 211.44 | 停滞: 0/300000 | 耗时: 0.0分钟
Gen   50 | 最优: 60417.65 | 平均: 83041.99 | 改进: 11335.35 | 停滞: 31/300000 | 耗时: 0.0分钟
Gen  100 | 最优: 59181.30 | 平均: 82091.17 | 改进: 1236.35 | 停滞: 31/300000 | 耗时: 0.0分钟
Gen  150 | 最优: 59181.30 | 平均: 82504.22 | 改进: 0.00 | 停滞: 81/300000 | 耗时: 0.1分钟
Gen  200 | 最优: 58408.18 | 平均: 82112.45 | 改进: 773.13 | 停滞: 4/300000 | 耗时: 0.1分钟
Gen  250 | 最优: 58408.18 | 平均: 81670.08 | 改进: 0.00 | 停滞: 54/300000 | 耗时: 0.1分钟
Gen  300 | 最优: 58408.18 | 平均: 82649.82 | 改进: 0.00 | 停滞: 104/300000 | 耗时: 0.1分钟
Gen  350 | 最优: 58408.18 | 平均: 83063.95 | 改进: 0.00 | 停滞: 154/300000 | 耗时: 0.2分钟
Gen  400 | 最优: 58408.18 | 平均: 83165.12 | 改进: 0.00 | 停滞: 204/300000 | 耗时: 0.2分钟
Gen  450 | 最优: 58408.18 | 平均: 83496.62 | 改进: 0.00 | 停滞: 254/300000 | 耗时: 0.2分钟
Gen  500 | 最优: 58408.18 | 平均: 83781.33 | 改进: 0.00 | 停滞: 304/300000 | 耗时: 0.2分钟
Gen  550 | 最优: 58408.18 | 平均: 81591.45 | 改进: 0.00 | 停滞: 354/300000 | 耗时: 0.2分钟
Gen  600 | 最优: 58408.18 | 平均: 83904.82 | 改进: 0.00 | 停滞: 404/300000 | 耗时: 0.3分钟
Gen  650 | 最优: 58408.18 | 平均: 82915.84 | 改进: 0.00 | 停滞: 454/300000 | 耗时: 0.3分钟
Gen  700 | 最优: 58408.18 | 平均: 82790.86 | 改进: 0.00 | 停滞: 504/300000 | 耗时: 0.3分钟
Gen  750 | 最优: 57140.18 | 平均: 82181.59 | 改进: 1268.00 | 停滞: 28/300000 | 耗时: 0.3分钟
Gen  800 | 最优: 57140.18 | 平均: 82971.53 | 改进: 0.00 | 停滞: 78/300000 | 耗时: 0.3分钟
Gen  850 | 最优: 57140.18 | 平均: 82757.66 | 改进: 0.00 | 停滞: 128/300000 | 耗时: 0.4分钟
Gen  900 | 最优: 57140.18 | 平均: 82428.07 | 改进: 0.00 | 停滞: 178/300000 | 耗时: 0.4分钟
Gen  950 | 最优: 57140.18 | 平均: 81436.29 | 改进: 0.00 | 停滞: 228/300000 | 耗时: 0.4分钟
Gen 1000 | 最优: 57140.18 | 平均: 82653.10 | 改进: 0.00 | 停滞: 278/300000 | 耗时: 0.4分钟
Gen 1050 | 最优: 57140.18 | 平均: 82853.96 | 改进: 0.00 | 停滞: 328/300000 | 耗时: 0.4分钟
Gen 1100 | 最优: 57140.18 | 平均: 82654.29 | 改进: 0.00 | 停滞: 378/300000 | 耗时: 0.5分钟
Gen 1150 | 最优: 57140.18 | 平均: 82410.84 | 改进: 0.00 | 停滞: 428/300000 | 耗时: 0.5分钟
Gen 1200 | 最优: 57140.18 | 平均: 81326.43 | 改进: 0.00 | 停滞: 478/300000 | 耗时: 0.5分钟
Gen 1250 | 最优: 57140.18 | 平均: 83776.73 | 改进: 0.00 | 停滞: 528/300000 | 耗时: 0.5分钟
Gen 1300 | 最优: 57140.18 | 平均: 83772.47 | 改进: 0.00 | 停滞: 578/300000 | 耗时: 0.5分钟
Gen 1350 | 最优: 57140.18 | 平均: 83003.32 | 改进: 0.00 | 停滞: 628/300000 | 耗时: 0.6分钟
Gen 1400 | 最优: 57140.18 | 平均: 82886.03 | 改进: 0.00 | 停滞: 678/300000 | 耗时: 0.6分钟
Gen 1450 | 最优: 57140.18 | 平均: 83872.34 | 改进: 0.00 | 停滞: 728/300000 | 耗时: 0.6分钟
Gen 1500 | 最优: 57140.18 | 平均: 83313.05 | 改进: 0.00 | 停滞: 778/300000 | 耗时: 0.6分钟
Gen 1550 | 最优: 57140.18 | 平均: 83960.60 | 改进: 0.00 | 停滞: 828/300000 | 耗时: 0.6分钟
Gen 1600 | 最优: 57140.18 | 平均: 83419.45 | 改进: 0.00 | 停滞: 878/300000 | 耗时: 0.7分钟
Gen 1650 | 最优: 57140.18 | 平均: 82022.07 | 改进: 0.00 | 停滞: 928/300000 | 耗时: 0.7分钟
Gen 1700 | 最优: 57140.18 | 平均: 83219.57 | 改进: 0.00 | 停滞: 978/300000 | 耗时: 0.7分钟
Gen 1750 | 最优: 57140.18 | 平均: 82690.92 | 改进: 0.00 | 停滞: 1028/300000 | 耗时: 0.7分钟
Gen 1800 | 最优: 57140.18 | 平均: 83024.50 | 改进: 0.00 | 停滞: 1078/300000 | 耗时: 0.7分钟
Gen 1850 | 最优: 57140.18 | 平均: 83082.39 | 改进: 0.00 | 停滞: 1128/300000 | 耗时: 0.8分钟
Gen 1900 | 最优: 57140.18 | 平均: 82714.61 | 改进: 0.00 | 停滞: 1178/300000 | 耗时: 0.8分钟
Gen 1950 | 最优: 57140.18 | 平均: 83070.06 | 改进: 0.00 | 停滞: 1228/300000 | 耗时: 0.8分钟
Gen 2000 | 最优: 57140.18 | 平均: 80639.09 | 改进: 0.00 | 停滞: 1278/300000 | 耗时: 0.8分钟
Gen 2050 | 最优: 57140.18 | 平均: 82227.84 | 改进: 0.00 | 停滞: 1328/300000 | 耗时: 0.8分钟
Gen 2100 | 最优: 57140.18 | 平均: 81924.58 | 改进: 0.00 | 停滞: 1378/300000 | 耗时: 0.9分钟
Gen 2150 | 最优: 57140.18 | 平均: 81773.16 | 改进: 0.00 | 停滞: 1428/300000 | 耗时: 0.9分钟
Gen 2200 | 最优: 57140.18 | 平均: 84388.53 | 改进: 0.00 | 停滞: 1478/300000 | 耗时: 0.9分钟
Gen 2250 | 最优: 57140.18 | 平均: 82336.56 | 改进: 0.00 | 停滞: 1528/300000 | 耗时: 0.9分钟
Gen 2300 | 最优: 57140.18 | 平均: 83296.46 | 改进: 0.00 | 停滞: 1578/300000 | 耗时: 0.9分钟
Gen 2350 | 最优: 57140.18 | 平均: 82568.76 | 改进: 0.00 | 停滞: 1628/300000 | 耗时: 1.0分钟
Gen 2400 | 最优: 57140.18 | 平均: 82879.07 | 改进: 0.00 | 停滞: 1678/300000 | 耗时: 1.0分钟
Gen 2450 | 最优: 57140.18 | 平均: 81537.71 | 改进: 0.00 | 停滞: 1728/300000 | 耗时: 1.0分钟
Gen 2500 | 最优: 57140.18 | 平均: 81695.41 | 改进: 0.00 | 停滞: 1778/300000 | 耗时: 1.0分钟
Gen 2550 | 最优: 57140.18 | 平均: 82611.33 | 改进: 0.00 | 停滞: 1828/300000 | 耗时: 1.0分钟
Gen 2600 | 最优: 57140.18 | 平均: 82803.20 | 改进: 0.00 | 停滞: 1878/300000 | 耗时: 1.0分钟
Gen 2650 | 最优: 57140.18 | 平均: 83191.83 | 改进: 0.00 | 停滞: 1928/300000 | 耗时: 1.1分钟
Gen 2700 | 最优: 57140.18 | 平均: 82534.72 | 改进: 0.00 | 停滞: 1978/300000 | 耗时: 1.1分钟
Gen 2750 | 最优: 57140.18 | 平均: 82441.73 | 改进: 0.00 | 停滞: 2028/300000 | 耗时: 1.1分钟
Gen 2800 | 最优: 57140.18 | 平均: 83270.52 | 改进: 0.00 | 停滞: 2078/300000 | 耗时: 1.1分钟
Gen 2850 | 最优: 57140.18 | 平均: 84031.22 | 改进: 0.00 | 停滞: 2128/300000 | 耗时: 1.1分钟
Gen 2900 | 最优: 57140.18 | 平均: 81019.79 | 改进: 0.00 | 停滞: 2178/300000 | 耗时: 1.2分钟
Gen 2950 | 最优: 57140.18 | 平均: 81172.98 | 改进: 0.00 | 停滞: 2228/300000 | 耗时: 1.2分钟
Gen 3000 | 最优: 57140.18 | 平均: 82027.20 | 改进: 0.00 | 停滞: 2278/300000 | 耗时: 1.2分钟
